Machine,Type,Machine ID,Timestamp,machine_id,force_applied,cycle_time,temperature,vibration_level,cycle_count,oil_pressure,die_alignment,sheet_thickness,power_consumption,noise_level,lubrication_flow_rate
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:12:21.332114+00:00,stamping_press_001,4102.0,0.1,45.1,0.96,631.0,4.1,aligned,3.7,3.3,95.1,1.6
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:12:47.504348+00:00,stamping_press_001,4814.5,18.9,26.1,0.35,536.0,1.9,aligned,3.8,12.6,48.7,1.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:13:07.507798+00:00,stamping_press_001,2494.7,9.5,77.8,0.35,367.0,0.1,aligned,2.0,18.7,12.2,1.7
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:13:16.366301+00:00,stamping_press_001,1527.3,18.1,66.8,0.85,743.0,3.4,aligned,0.1,16.7,58.3,0.2
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:13:43.011479+00:00,stamping_press_001,1320.2,19.5,80.6,0.65,1513.0,4.4,aligned,4.4,8.3,86.1,1.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:14:27.310411+00:00,stamping_press_001,1204.1,9.1,2.7,0.45,1169.0,3.5,aligned,1.5,5.6,26.8,0.0
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:14:56.182759+00:00,stamping_press_001,1575.1,7.7,27.4,0.06,1933.0,4.8,aligned,1.8,18.4,37.3,1.6
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:15:02.847149+00:00,stamping_press_001,617.5,6.1,41.5,0.44,1392.0,0.9,aligned,1.4,7.5,16.0,1.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:15:27.226031+00:00,stamping_press_001,1578.0,3.7,29.6,0.86,32.0,3.7,aligned,4.9,17.2,54.1,0.7
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:15:31.647959+00:00,stamping_press_001,2805.3,13.6,99.7,0.84,1131.0,3.9,aligned,1.7,15.8,67.9,0.0
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:16:05.689110+00:00,stamping_press_001,3316.5,11.1,44.8,0.68,643.0,2.9,aligned,1.3,18.4,40.3,0.2
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:16:07.790148+00:00,stamping_press_001,4318.1,17.0,62.9,0.95,1326.0,1.7,aligned,4.5,15.0,65.0,1.1
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:16:27.143526+00:00,stamping_press_001,2672.4,19.5,87.6,0.28,382.0,0.6,aligned,0.2,3.3,93.1,0.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:16:47.125239+00:00,stamping_press_001,3480.1,15.8,4.7,1.0,1067.0,2.7,aligned,2.8,17.9,70.0,0.7
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:17:07.141625+00:00,stamping_press_001,805.7,15.2,11.4,0.5,354.0,2.9,aligned,4.4,17.6,97.0,0.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:17:27.122552+00:00,stamping_press_001,3125.3,1.9,31.4,0.7,1652.0,0.4,aligned,3.6,15.5,17.8,1.8
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:17:47.042948+00:00,stamping_press_001,1555.6,3.6,54.5,0.82,991.0,4.1,aligned,2.4,17.2,4.5,0.7
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:17:51.480362+00:00,stamping_press_001,4809.0,8.5,52.6,0.07,1441.0,2.1,aligned,3.9,17.7,61.5,1.2
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:18:11.439433+00:00,stamping_press_001,733.3,0.4,16.7,0.2,1352.0,2.2,aligned,3.6,7.0,35.2,1.0
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:18:46.911837+00:00,stamping_press_001,2159.2,14.8,5.8,0.22,910.0,3.2,aligned,1.9,3.2,23.0,0.6
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:19:18.097714+00:00,stamping_press_001,1687.1,11.8,76.4,0.24,1746.0,1.1,aligned,2.8,2.1,34.2,0.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:19:20.194580+00:00,stamping_press_001,1184.1,9.5,80.1,0.55,367.0,1.1,aligned,0.8,1.3,79.2,0.8
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:19:46.799599+00:00,stamping_press_001,508.3,14.1,8.9,0.96,1307.0,4.4,aligned,4.0,7.6,14.5,1.0
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:19:51.224155+00:00,stamping_press_001,563.0,19.7,93.3,0.2,1933.0,1.9,aligned,4.0,8.6,15.3,0.6
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:20:22.226330+00:00,stamping_press_001,850.7,11.3,47.2,0.28,224.0,2.8,aligned,0.1,10.1,65.6,0.6
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:20:46.600337+00:00,stamping_press_001,3452.2,0.2,61.0,0.44,1202.0,2.4,aligned,3.2,15.8,40.3,1.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:21:02.113939+00:00,stamping_press_001,111.4,11.2,57.5,0.88,474.0,2.5,aligned,1.7,17.8,82.8,0.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:21:17.643590+00:00,stamping_press_001,120.8,7.3,97.9,0.71,1376.0,3.0,aligned,0.3,13.2,18.2,1.7
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:21:46.485777+00:00,stamping_press_001,2159.1,8.0,91.3,0.71,117.0,0.9,aligned,4.1,6.5,58.5,0.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:22:02.005207+00:00,stamping_press_001,1557.9,16.5,18.7,0.76,65.0,4.4,aligned,0.4,6.5,23.0,1.2
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:22:26.710907+00:00,stamping_press_001,1926.7,9.3,80.7,0.1,1263.0,4.3,aligned,1.4,16.8,2.5,0.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:22:37.795206+00:00,stamping_press_001,2606.8,15.4,73.7,0.22,571.0,4.2,aligned,0.4,16.9,25.2,1.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:23:08.835587+00:00,stamping_press_001,919.0,4.9,15.4,0.01,1425.0,1.0,aligned,4.8,4.1,34.7,1.1
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:23:17.735321+00:00,stamping_press_001,1343.6,2.5,67.5,0.79,1995.0,4.4,aligned,1.3,7.7,99.7,1.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:23:46.507651+00:00,stamping_press_001,4193.1,2.6,87.3,0.54,683.0,1.0,aligned,0.1,13.3,21.7,0.6
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:23:53.186410+00:00,stamping_press_001,4846.8,18.2,25.6,0.86,880.0,2.0,aligned,3.2,11.4,9.6,1.3
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:24:26.478253+00:00,stamping_press_001,2816.0,12.8,33.2,0.68,846.0,4.9,aligned,0.0,14.4,1.0,1.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:24:48.730650+00:00,stamping_press_001,1989.7,12.1,15.0,0.48,277.0,0.5,aligned,1.0,2.8,20.0,0.2
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:25:06.442812+00:00,stamping_press_001,1128.9,11.7,94.3,0.69,1842.0,4.7,aligned,3.0,6.9,41.8,1.2
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:25:19.744516+00:00,stamping_press_001,4759.4,0.7,39.3,0.93,1938.0,3.9,aligned,1.4,8.1,0.4,1.6
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:25:33.114508+00:00,stamping_press_001,3501.5,17.8,3.3,0.13,548.0,3.5,aligned,2.1,3.0,35.3,1.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:26:08.560740+00:00,stamping_press_001,3836.6,5.3,81.0,0.28,1689.0,0.4,aligned,3.4,0.2,50.1,0.6
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:26:21.877961+00:00,stamping_press_001,3485.2,14.6,76.4,0.35,1799.0,1.8,aligned,2.2,9.3,92.3,1.1
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:26:46.642278+00:00,stamping_press_001,152.1,5.3,58.5,0.77,1017.0,3.6,aligned,2.5,1.0,92.8,1.8
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:26:50.680647+00:00,stamping_press_001,4930.1,1.0,38.4,0.29,126.0,0.1,aligned,1.3,2.5,43.5,1.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:27:17.277787+00:00,stamping_press_001,1583.1,1.4,47.5,0.18,1653.0,0.5,aligned,4.8,16.5,73.4,1.7
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:27:46.100937+00:00,stamping_press_001,4124.5,1.6,26.7,0.97,423.0,2.1,aligned,3.9,13.2,29.0,2.0
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:28:01.622638+00:00,stamping_press_001,4147.7,9.5,20.1,0.09,1244.0,4.0,aligned,1.4,4.0,41.9,1.1
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:28:21.570975+00:00,stamping_press_001,2952.7,15.8,37.3,0.25,271.0,0.4,aligned,4.1,14.8,89.5,0.2
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:28:37.085742+00:00,stamping_press_001,3866.9,4.2,28.4,0.88,621.0,4.1,aligned,1.4,19.0,33.3,1.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:28:52.617735+00:00,stamping_press_001,3664.0,13.0,87.6,0.67,1719.0,2.4,aligned,4.0,1.0,67.4,1.5
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:29:28.098689+00:00,stamping_press_001,2534.4,15.0,12.9,0.61,1395.0,4.8,aligned,3.0,10.7,83.2,1.6
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:29:36.950913+00:00,stamping_press_001,3635.2,17.5,98.1,1.0,680.0,0.2,aligned,0.9,19.8,50.0,1.3
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:30:07.981496+00:00,stamping_press_001,2824.5,15.7,10.7,0.58,1033.0,3.7,aligned,3.0,15.7,29.0,1.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:30:27.934677+00:00,stamping_press_001,4728.4,9.3,68.4,0.96,1464.0,0.3,aligned,2.7,7.3,27.8,1.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:30:36.789400+00:00,stamping_press_001,2240.8,16.3,11.7,0.75,1217.0,4.1,aligned,2.4,1.2,22.7,1.1
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:30:58.948402+00:00,stamping_press_001,1843.2,8.6,87.2,0.37,678.0,0.1,aligned,4.6,7.2,17.1,0.8
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:31:27.806927+00:00,stamping_press_001,2317.7,7.1,90.5,0.1,1841.0,4.4,aligned,0.1,11.0,54.1,0.3
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:31:47.776930+00:00,stamping_press_001,1022.1,16.4,95.0,0.52,675.0,1.8,aligned,3.8,10.4,38.8,0.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:32:07.753484+00:00,stamping_press_001,3.7,10.7,31.1,0.9,657.0,1.1,aligned,4.8,12.5,86.4,1.8
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:32:27.741639+00:00,stamping_press_001,1550.0,18.5,37.4,0.83,1078.0,3.5,aligned,1.7,17.3,63.8,1.8
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:32:47.692405+00:00,stamping_press_001,1299.9,18.9,93.4,0.42,681.0,1.7,aligned,1.7,16.7,62.1,0.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:43:40.301290+00:00,stamping_press_001,1215.3,5.8,69.1,0.03,1085.0,0.7,aligned,2.1,8.5,80.5,0.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:48:04.049006+00:00,stamping_press_001,3584.3,14.2,52.2,0.45,1009.0,2.5,aligned,3.5,11.1,40.1,0.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:48:43.341781+00:00,stamping_press_001,1404.9,10.3,57.3,0.35,1250.0,3.7,aligned,1.0,12.2,66.9,0.5
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:53:04.332523+00:00,stamping_press_001,1903.9,19.0,84.0,0.64,1464.0,2.3,aligned,0.9,7.8,23.2,0.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:53:23.717539+00:00,stamping_press_001,210.8,6.8,64.0,0.85,599.0,1.7,aligned,2.0,15.0,95.4,1.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:53:42.577010+00:00,stamping_press_001,3641.5,12.8,42.2,0.71,535.0,0.8,aligned,0.6,12.5,68.0,1.6
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:53:43.573291+00:00,stamping_press_001,2774.1,12.3,24.7,0.17,1757.0,3.3,aligned,1.2,13.1,20.4,0.6
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:54:03.959299+00:00,stamping_press_001,2861.3,6.6,63.5,0.6,559.0,1.3,aligned,3.3,11.0,8.6,0.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:54:23.963439+00:00,stamping_press_001,4276.4,18.2,94.1,0.24,1979.0,3.8,aligned,1.9,16.3,82.5,1.1
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:54:24.258343+00:00,stamping_press_001,526.7,19.4,19.1,0.39,1343.0,4.4,aligned,3.0,15.5,43.5,1.5
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:54:44.113732+00:00,stamping_press_001,239.3,13.4,46.2,0.96,1448.0,2.9,aligned,1.5,17.9,17.5,1.8
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:55:03.790220+00:00,stamping_press_001,3344.2,16.2,1.7,0.57,857.0,2.5,aligned,0.9,14.0,36.6,1.7
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:55:23.759950+00:00,stamping_press_001,205.2,19.7,46.7,0.76,1819.0,5.0,aligned,0.5,19.6,88.0,1.2
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:55:43.730996+00:00,stamping_press_001,3780.0,8.0,31.4,0.51,1199.0,2.4,aligned,4.1,15.4,37.2,0.5
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:56:03.865126+00:00,stamping_press_001,3294.0,7.9,45.6,0.07,753.0,2.3,aligned,2.8,17.8,96.1,0.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:56:23.899717+00:00,stamping_press_001,2027.2,8.7,10.7,0.92,618.0,0.8,aligned,2.4,12.6,93.6,0.5
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:56:43.743796+00:00,stamping_press_001,563.6,14.5,73.8,0.84,1840.0,3.1,aligned,2.9,11.5,10.7,0.1
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:57:04.488023+00:00,stamping_press_001,2831.7,19.0,97.9,0.4,1404.0,5.0,aligned,0.5,10.2,3.1,0.1
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:57:23.755780+00:00,stamping_press_001,4998.4,17.9,74.9,0.41,1065.0,3.9,aligned,2.8,6.3,26.5,1.0
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:57:45.267353+00:00,stamping_press_001,3057.8,15.9,34.7,0.49,1479.0,3.2,aligned,3.0,13.5,47.6,1.8
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:58:04.423306+00:00,stamping_press_001,1990.7,9.8,2.8,0.09,1790.0,3.6,aligned,4.4,12.0,94.3,1.5
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:58:43.942119+00:00,stamping_press_001,1679.5,15.8,29.9,0.2,590.0,3.0,aligned,3.8,8.8,29.9,0.6
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:59:03.779267+00:00,stamping_press_001,4192.6,1.7,74.4,0.57,987.0,1.4,aligned,1.8,15.4,4.0,1.5
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 09:59:44.057065+00:00,stamping_press_001,4310.4,7.8,12.7,0.15,1207.0,3.3,aligned,3.5,11.5,5.4,1.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 10:00:03.729960+00:00,stamping_press_001,4024.1,14.8,40.9,0.64,1880.0,2.9,aligned,2.1,16.5,84.2,1.5
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 10:00:23.808796+00:00,stamping_press_001,360.8,0.3,78.7,0.88,1202.0,0.8,aligned,2.6,16.1,41.6,1.8
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 10:00:43.904391+00:00,stamping_press_001,1273.0,16.5,94.3,0.26,443.0,4.4,aligned,0.6,5.4,28.9,1.6
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 10:01:04.210355+00:00,stamping_press_001,1125.5,16.9,40.4,0.14,459.0,3.9,aligned,2.8,1.1,68.9,0.7
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 10:01:23.993797+00:00,stamping_press_001,4621.6,6.3,24.6,0.03,1936.0,2.5,aligned,1.0,17.6,7.6,1.2
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 10:01:40.398187+00:00,stamping_press_001,3823.2,17.8,3.3,0.15,791.0,0.4,aligned,1.8,15.0,92.9,1.8
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 10:01:43.979180+00:00,stamping_press_001,4933.8,3.4,74.9,0.86,1497.0,3.9,aligned,1.8,17.1,35.3,1.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 10:02:04.525373+00:00,stamping_press_001,527.8,3.1,30.7,0.83,344.0,2.0,aligned,4.5,14.3,86.5,1.6
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 10:02:24.039756+00:00,stamping_press_001,625.8,0.3,65.8,0.12,1718.0,0.4,aligned,0.7,11.2,94.3,0.8
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 10:02:44.283164+00:00,stamping_press_001,2366.3,8.3,70.9,0.67,1547.0,0.5,aligned,4.6,7.2,74.7,1.1
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 10:03:04.373163+00:00,stamping_press_001,3571.6,9.2,64.7,0.94,1695.0,1.1,aligned,3.5,10.8,18.6,0.3
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 10:03:24.196966+00:00,stamping_press_001,2949.8,5.3,77.8,0.02,658.0,4.5,aligned,1.0,9.5,15.1,1.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 10:03:44.434788+00:00,stamping_press_001,2489.0,2.6,1.0,0.12,534.0,4.2,aligned,0.8,11.5,53.1,1.1
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 10:04:03.881454+00:00,stamping_press_001,422.2,4.1,19.0,0.1,1970.0,1.3,aligned,4.6,6.5,43.5,0.9
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 10:04:23.048199+00:00,stamping_press_001,579.8,14.8,64.7,0.21,1134.0,3.4,aligned,3.8,4.4,23.8,0.4
STAMPING - stamping_press_001,STAMPING,stamping_press_001,2024-10-19 10:04:43.311994+00:00,stamping_press_001,126.3,18.7,28.0,0.52,793.0,1.2,aligned,1.4,4.5,67.9,0.9
