Machine,Type,Machine ID,Timestamp,machine_id,vibration_level,power_consumption,weld_temperature,weld_current,weld_voltage,weld_time,pressure_applied,wire_feed_rate,gas_flow_rate,weld_strength_estimate,x,y,z
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:06:34.943866+00:00,welding_robot_006,0.75,9.6,712.0,48.4,16.5,866.0,77.4,3.1,32.8,3365.0,98.7,5.0,154.2
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:07:10.452258+00:00,welding_robot_006,0.73,4.2,159.2,113.5,46.6,378.0,325.9,4.8,31.6,3952.7,62.5,24.3,196.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:07:23.751225+00:00,welding_robot_006,0.78,2.1,827.6,223.6,34.0,406.0,630.5,1.1,49.6,2207.9,139.9,124.1,170.7
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:07:39.281797+00:00,welding_robot_006,0.04,2.1,1950.8,147.1,33.8,114.0,1954.5,0.4,48.0,1573.4,162.5,185.2,112.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:07:54.808211+00:00,welding_robot_006,0.86,3.9,1784.3,245.0,14.4,858.0,630.2,1.5,5.1,4366.4,168.5,148.2,44.7
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:08:28.042355+00:00,welding_robot_006,0.4,2.9,853.6,161.4,40.6,70.0,1887.4,1.0,48.0,4580.7,53.2,184.3,152.0
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:08:48.003292+00:00,welding_robot_006,0.46,1.0,599.3,159.4,13.0,275.0,1811.7,1.7,28.4,3066.4,72.5,146.4,22.9
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:08:59.094939+00:00,welding_robot_006,0.13,6.1,1907.4,298.0,29.1,662.0,984.1,4.6,29.1,4691.4,166.8,130.2,6.0
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:09:14.651037+00:00,welding_robot_006,0.51,1.1,269.2,230.3,16.7,493.0,1194.2,4.9,25.9,2891.9,122.6,83.0,7.0
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:09:43.439923+00:00,welding_robot_006,0.09,0.1,986.6,26.5,26.3,218.0,636.9,7.4,25.1,1169.4,94.9,169.4,130.8
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:10:03.400625+00:00,welding_robot_006,0.51,5.8,1911.7,235.1,21.1,357.0,1243.8,1.0,17.5,658.5,3.6,159.5,15.6
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:10:30.036187+00:00,welding_robot_006,0.48,2.6,858.7,145.6,1.8,541.0,244.7,7.7,18.6,1344.8,38.3,8.7,178.1
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:10:34.447884+00:00,welding_robot_006,0.24,5.6,1398.5,145.0,9.8,791.0,146.2,0.7,36.4,4206.5,106.6,114.3,168.2
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:11:09.958949+00:00,welding_robot_006,0.94,5.0,244.2,206.7,44.4,267.0,779.7,1.9,5.4,1405.9,102.9,95.8,61.3
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:11:14.377157+00:00,welding_robot_006,0.05,5.2,1386.0,269.8,0.3,357.0,1347.9,5.9,18.3,3996.2,90.3,44.9,166.0
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:11:45.443815+00:00,welding_robot_006,0.96,6.7,1456.1,150.5,5.8,388.0,1677.1,5.2,31.9,1654.5,12.8,154.5,29.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:11:54.266603+00:00,welding_robot_006,0.37,7.7,1696.9,245.7,43.3,915.0,638.8,9.0,34.0,2314.1,190.1,84.4,19.7
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:12:23.122684+00:00,welding_robot_006,0.43,4.6,968.9,9.5,18.9,489.0,1949.0,9.0,35.3,1990.0,112.5,20.6,52.3
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:12:49.758317+00:00,welding_robot_006,0.79,3.1,1109.3,120.6,33.8,297.0,62.5,0.7,4.3,4207.9,31.3,92.4,162.3
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:13:09.716458+00:00,welding_robot_006,0.43,3.8,481.2,78.6,43.3,475.0,120.1,4.3,3.8,4465.9,79.8,137.6,67.3
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:13:18.632242+00:00,welding_robot_006,0.64,9.0,818.7,122.4,46.1,990.0,695.6,3.8,30.1,3623.0,74.7,144.8,26.3
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:13:45.239482+00:00,welding_robot_006,0.75,6.1,1204.5,157.0,30.9,672.0,498.1,8.2,43.0,2445.5,196.5,181.3,9.0
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:14:29.564353+00:00,welding_robot_006,0.38,7.5,894.1,202.7,33.5,449.0,1946.6,4.4,7.6,2679.0,49.4,35.2,176.0
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:14:58.414208+00:00,welding_robot_006,0.26,5.2,1505.4,296.7,44.7,12.0,27.7,5.4,40.2,2605.3,19.7,11.4,57.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:15:05.072220+00:00,welding_robot_006,0.43,7.4,916.4,105.4,18.0,737.0,1348.9,3.1,22.7,4233.7,114.9,91.2,136.3
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:15:29.456304+00:00,welding_robot_006,0.5,3.2,735.3,80.7,3.2,530.0,798.6,6.0,18.4,4853.8,71.9,151.9,130.6
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:15:33.881183+00:00,welding_robot_006,0.43,5.7,1757.5,140.1,30.8,444.0,182.7,8.1,14.7,1770.3,107.6,139.2,176.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:16:07.224752+00:00,welding_robot_006,0.36,2.5,434.8,283.9,20.7,811.0,197.1,5.5,10.3,1094.9,185.7,26.8,94.7
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:16:09.439920+00:00,welding_robot_006,0.98,9.2,1971.0,21.3,41.7,246.0,26.8,7.9,35.8,1445.1,174.6,57.6,25.4
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:16:29.396737+00:00,welding_robot_006,0.59,0.3,1747.7,195.1,7.7,527.0,194.4,5.3,33.0,3710.4,72.4,92.3,53.1
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:16:49.346464+00:00,welding_robot_006,0.91,1.5,1911.2,275.5,32.8,372.0,1827.0,3.9,32.0,3754.8,117.9,73.2,44.4
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:17:10.963455+00:00,welding_robot_006,0.47,1.7,1455.4,247.4,45.4,782.0,1168.9,2.1,22.1,846.7,21.4,103.9,47.7
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:17:29.328166+00:00,welding_robot_006,0.51,9.5,962.7,229.1,36.7,454.0,1524.1,5.0,47.0,940.8,6.0,23.6,176.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:17:49.795440+00:00,welding_robot_006,0.03,5.3,1631.2,299.4,25.1,60.0,378.5,0.6,29.1,1407.8,197.9,92.6,107.6
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:17:53.700312+00:00,welding_robot_006,0.58,4.5,496.7,64.4,31.1,917.0,796.9,1.2,20.6,3487.7,24.7,71.4,109.8
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:18:13.662056+00:00,welding_robot_006,0.58,6.1,797.4,167.3,43.2,928.0,1395.0,7.3,25.5,1105.1,181.5,0.6,95.7
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:18:49.136927+00:00,welding_robot_006,0.37,3.8,1077.7,265.8,35.0,82.0,1862.4,0.9,24.3,2832.7,52.0,1.0,84.0
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:19:20.155351+00:00,welding_robot_006,0.74,5.4,545.5,236.1,41.9,704.0,483.0,9.2,18.8,1844.1,150.5,2.5,122.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:19:22.378564+00:00,welding_robot_006,0.55,5.4,1410.9,147.9,30.1,513.0,884.7,5.6,39.5,4329.6,27.0,16.4,129.0
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:19:49.555786+00:00,welding_robot_006,0.31,1.9,1490.8,256.4,4.4,799.0,1655.3,9.2,28.7,4088.5,139.9,110.1,157.0
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:19:53.435135+00:00,welding_robot_006,0.9,5.5,1240.2,215.7,45.9,735.0,450.9,3.2,3.8,2465.6,183.7,64.2,198.4
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:20:24.453280+00:00,welding_robot_006,0.5,8.6,1849.6,271.9,37.2,539.0,1385.6,5.4,11.6,2726.3,91.9,74.7,175.4
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:20:48.826147+00:00,welding_robot_006,0.69,5.7,1891.1,55.8,21.3,37.0,441.0,8.8,15.3,1929.3,191.7,186.2,8.6
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:21:04.381810+00:00,welding_robot_006,0.43,7.1,514.4,189.0,27.7,634.0,807.8,2.5,47.3,3719.2,73.9,164.8,154.8
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:21:19.906277+00:00,welding_robot_006,0.2,7.5,1072.6,210.4,8.5,791.0,1849.8,6.4,16.0,2039.0,7.3,46.1,177.7
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:21:48.718631+00:00,welding_robot_006,0.13,9.5,1613.0,54.8,45.7,898.0,165.6,2.4,44.0,4765.6,195.2,103.5,194.0
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:22:04.222188+00:00,welding_robot_006,0.43,3.3,77.6,281.4,36.7,816.0,956.8,3.4,35.6,3002.0,167.9,75.9,179.3
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:22:28.618537+00:00,welding_robot_006,0.67,5.0,1917.0,294.3,6.1,364.0,1665.0,6.3,44.8,1259.5,167.5,50.8,124.2
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:22:40.027566+00:00,welding_robot_006,0.03,4.2,437.3,25.5,38.0,128.0,663.3,5.4,37.8,476.5,46.7,15.0,127.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:23:11.077910+00:00,welding_robot_006,0.81,3.7,289.0,231.3,0.2,741.0,649.2,6.8,8.9,2990.6,174.8,82.3,184.9
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:23:19.965885+00:00,welding_robot_006,0.07,6.3,1702.1,75.4,49.9,250.0,1206.0,1.5,40.9,1717.9,114.1,122.2,19.9
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:23:49.249740+00:00,welding_robot_006,0.28,4.7,471.7,271.3,47.3,239.0,1766.8,7.3,11.1,2926.7,25.1,106.1,100.8
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:23:55.436000+00:00,welding_robot_006,0.23,7.4,525.7,226.7,19.7,193.0,541.1,1.7,30.5,2430.2,75.2,11.3,104.4
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:24:28.690439+00:00,welding_robot_006,0.3,0.4,453.6,98.6,47.6,361.0,1172.7,9.2,46.3,4833.1,55.4,85.2,150.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:24:50.938506+00:00,welding_robot_006,0.68,9.1,624.7,55.9,17.0,723.0,1911.1,6.5,17.3,2506.7,101.3,133.0,185.3
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:25:08.671625+00:00,welding_robot_006,0.54,0.6,730.5,69.2,10.4,475.0,1248.8,6.7,35.4,1786.3,184.6,23.3,133.7
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:25:21.987256+00:00,welding_robot_006,0.05,4.8,604.3,41.5,9.0,263.0,284.5,8.4,35.2,4940.9,10.6,33.9,196.8
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:25:35.287722+00:00,welding_robot_006,0.34,1.9,162.7,140.5,28.8,130.0,375.5,8.1,9.0,4904.2,96.8,130.2,109.0
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:26:10.766350+00:00,welding_robot_006,0.43,5.6,53.2,167.7,3.1,420.0,998.2,7.8,16.7,1474.6,52.2,29.1,13.1
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:26:24.074669+00:00,welding_robot_006,0.48,0.8,1139.4,11.4,43.1,942.0,1673.4,4.9,4.9,3170.2,134.4,122.7,119.3
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:26:48.475188+00:00,welding_robot_006,0.7,3.2,808.3,51.5,12.6,169.0,1544.8,4.6,8.4,3895.0,18.7,48.7,18.8
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:26:52.902308+00:00,welding_robot_006,0.23,0.4,1660.9,235.6,17.7,192.0,636.8,0.9,22.4,196.6,55.5,16.8,49.1
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:27:19.525521+00:00,welding_robot_006,0.5,7.9,401.6,204.7,34.7,161.0,958.1,9.4,11.4,575.8,107.2,68.7,38.4
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:27:48.340082+00:00,welding_robot_006,0.17,4.5,1083.7,34.4,25.2,139.0,445.7,1.4,19.1,727.5,65.0,120.3,56.3
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:28:03.856922+00:00,welding_robot_006,0.39,5.7,1843.1,164.2,10.2,390.0,1777.9,3.6,1.7,3521.3,108.6,96.8,143.2
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:28:23.808469+00:00,welding_robot_006,0.65,4.5,1650.8,136.1,23.0,167.0,503.9,1.5,10.2,2892.7,118.5,19.7,103.8
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:28:39.312599+00:00,welding_robot_006,0.82,0.5,45.1,225.0,15.5,664.0,1828.5,1.7,36.5,2036.8,46.8,57.1,152.8
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:28:54.872431+00:00,welding_robot_006,0.44,4.7,1963.9,175.8,42.7,132.0,1950.1,3.4,40.9,2565.2,179.7,60.2,65.3
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:29:30.315614+00:00,welding_robot_006,0.56,1.4,1187.5,211.4,48.8,647.0,1504.0,8.3,33.0,867.6,174.5,189.2,164.3
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:29:39.243963+00:00,welding_robot_006,0.44,7.1,1317.3,143.3,22.7,502.0,23.3,4.5,35.0,2000.9,104.9,174.3,139.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:30:10.198936+00:00,welding_robot_006,0.39,0.3,133.5,235.7,21.7,442.0,619.1,5.0,5.8,3627.7,9.0,76.0,45.3
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:30:30.175398+00:00,welding_robot_006,0.11,0.5,144.4,139.6,21.2,389.0,1948.4,1.1,32.2,4612.9,89.9,104.4,69.3
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:30:39.010158+00:00,welding_robot_006,0.39,4.7,1969.6,172.6,30.9,280.0,1418.5,6.9,49.7,1813.0,52.2,34.0,122.2
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:31:01.193885+00:00,welding_robot_006,0.79,9.1,1937.1,22.8,29.1,720.0,1257.9,3.8,36.9,3931.4,163.9,71.8,138.0
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:31:30.022408+00:00,welding_robot_006,0.55,8.0,1086.1,127.3,34.6,442.0,913.7,2.8,28.1,2048.4,59.7,20.8,62.7
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:31:49.991137+00:00,welding_robot_006,0.46,0.9,159.2,280.8,45.6,263.0,339.4,2.4,30.3,1130.3,104.3,162.1,197.1
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:32:09.980115+00:00,welding_robot_006,0.15,7.5,291.1,238.7,10.6,948.0,1573.8,5.6,33.0,1026.7,95.5,98.2,75.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:32:29.962993+00:00,welding_robot_006,0.91,6.4,1225.5,183.0,11.4,23.0,1878.6,4.9,35.2,2624.6,35.9,55.3,3.1
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:37:49.135768+00:00,welding_robot_006,0.42,1.6,84.1,285.6,5.9,107.0,817.6,3.6,20.5,4021.3,101.8,130.8,81.4
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:48:42.102033+00:00,welding_robot_006,0.87,1.7,1373.6,225.8,24.0,410.0,538.9,0.4,3.5,1462.6,9.7,29.7,60.9
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:53:04.795214+00:00,welding_robot_006,0.95,2.3,1187.9,111.4,45.0,382.0,602.2,1.0,33.4,4732.2,180.5,191.4,175.4
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:53:44.029310+00:00,welding_robot_006,0.36,1.4,1427.3,183.7,20.7,985.0,1240.3,6.6,27.3,1886.3,160.9,53.4,55.9
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:58:05.122987+00:00,welding_robot_006,0.47,3.3,602.3,15.4,9.9,802.0,1596.8,9.3,21.0,351.5,95.8,96.1,186.8
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:58:24.466500+00:00,welding_robot_006,0.69,9.0,1784.3,29.5,4.7,322.0,106.8,7.5,47.3,1438.2,106.4,60.4,143.7
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:58:43.364668+00:00,welding_robot_006,0.76,9.7,1634.8,174.3,42.8,47.0,1270.9,3.9,19.7,4640.7,112.3,26.1,58.1
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:58:44.246287+00:00,welding_robot_006,0.44,3.9,556.8,7.1,40.0,513.0,1968.3,9.6,8.0,610.8,76.9,45.9,69.8
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:59:04.598068+00:00,welding_robot_006,0.66,6.8,252.5,160.3,3.7,900.0,1753.3,2.5,7.7,1514.2,74.3,130.1,98.4
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:59:24.662941+00:00,welding_robot_006,0.25,0.1,1221.0,217.3,25.8,614.0,443.1,4.6,19.6,2950.4,2.5,19.9,113.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:59:24.994126+00:00,welding_robot_006,0.62,2.9,23.3,148.6,26.9,355.0,279.6,5.3,24.9,3945.6,199.4,130.5,29.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 09:59:45.017024+00:00,welding_robot_006,0.29,7.7,1907.8,184.1,15.0,453.0,92.8,2.5,21.4,2795.6,12.5,38.1,37.4
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:00:04.768579+00:00,welding_robot_006,0.95,8.2,1412.6,89.7,14.3,461.0,1717.6,5.5,10.4,3836.0,120.9,50.1,105.2
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:00:24.499709+00:00,welding_robot_006,0.75,5.7,1290.6,70.5,6.6,100.0,1523.0,1.2,34.0,2578.3,21.2,172.3,132.9
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:00:44.414046+00:00,welding_robot_006,0.04,0.2,215.6,108.9,46.5,625.0,1683.7,0.6,33.3,735.5,103.3,70.1,5.1
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:01:04.629280+00:00,welding_robot_006,0.65,6.8,1916.5,8.6,18.6,730.0,503.6,7.4,8.4,3508.7,18.8,12.6,141.4
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:01:24.671290+00:00,welding_robot_006,0.72,8.2,1608.0,229.7,48.7,49.0,38.7,6.2,31.2,777.7,105.7,53.9,2.4
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:01:44.408208+00:00,welding_robot_006,0.89,6.8,1234.5,279.4,43.4,164.0,1131.2,5.7,27.4,2744.6,184.2,42.7,79.1
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:02:05.128000+00:00,welding_robot_006,0.22,1.3,1699.2,28.5,19.8,383.0,1128.2,1.8,35.7,4046.0,60.6,75.0,149.4
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:02:24.402001+00:00,welding_robot_006,0.01,7.0,129.1,257.1,11.5,349.0,1712.1,1.0,33.7,2167.1,49.1,98.1,9.1
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:02:46.029939+00:00,welding_robot_006,0.32,3.1,45.9,69.9,3.7,972.0,174.5,2.2,20.6,432.2,110.4,86.9,20.0
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:03:05.042727+00:00,welding_robot_006,0.97,9.0,1639.4,221.8,48.3,822.0,1485.1,0.3,38.5,2448.1,31.5,153.8,190.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:03:45.184921+00:00,welding_robot_006,0.99,2.6,1791.4,240.7,32.4,181.0,551.7,8.4,29.2,3315.3,176.1,15.9,42.3
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:04:04.423188+00:00,welding_robot_006,0.87,3.0,1778.1,201.9,47.5,688.0,951.7,6.7,18.7,2225.8,111.1,182.5,140.2
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:04:44.708721+00:00,welding_robot_006,0.83,6.9,1878.3,166.6,15.6,308.0,1850.2,1.6,19.0,2754.9,189.1,27.2,169.9
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:05:04.370155+00:00,welding_robot_006,0.21,9.7,1813.4,111.7,46.6,999.0,644.9,9.4,16.8,1365.3,44.2,39.6,114.1
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:05:24.473655+00:00,welding_robot_006,0.57,1.0,1214.7,216.5,39.2,102.0,991.0,9.3,2.2,2150.7,150.6,146.0,117.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:05:44.630463+00:00,welding_robot_006,0.87,3.9,662.5,120.4,12.8,254.0,1910.8,5.3,23.7,4165.1,24.1,197.0,58.5
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:12:43.919579+00:00,welding_robot_006,0.89,8.9,119.2,282.4,5.5,134.0,75.9,7.7,30.7,4248.7,133.2,21.0,20.1
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:13:04.372727+00:00,welding_robot_006,0.34,9.6,1923.7,197.1,32.1,559.0,1502.6,8.3,17.6,864.9,183.2,91.2,167.0
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:13:24.280503+00:00,welding_robot_006,0.47,8.5,1074.9,4.8,32.1,190.0,664.7,9.2,4.0,787.3,108.7,88.7,35.9
WELDING - welding_robot_006,WELDING,welding_robot_006,2024-10-19 10:13:44.432232+00:00,welding_robot_006,0.83,2.4,1663.7,156.9,31.9,424.0,1444.8,3.9,6.9,3867.9,89.3,127.7,125.6
