Machine,Type,Machine ID,Timestamp,machine_id,temperature,vibration_level,battery_level,load_weight,speed,distance_traveled,obstacle_detection,navigation_status,wheel_rotation_speed,x,y,z
AGV - agv_003,AGV,agv_003,2024-10-19 09:05:01.654605+00:00,agv_003,38.1,0.38,79.3,420.5,0.9,930.4,no,rerouting,278.9,188.5,128.9,111.2
AGV - agv_003,AGV,agv_003,2024-10-19 09:05:21.222219+00:00,agv_003,37.7,0.33,11.9,1367.2,2.9,83.2,yes,en_route,47.6,129.9,42.5,68.0
AGV - agv_003,AGV,agv_003,2024-10-19 09:05:41.682792+00:00,agv_003,18.8,0.03,22.9,769.1,4.4,1940.2,no,waiting,174.1,173.8,94.8,152.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:06:01.881953+00:00,agv_003,30.4,0.47,56.1,922.6,0.4,1806.3,yes,en_route,185.2,144.8,28.9,74.2
AGV - agv_003,AGV,agv_003,2024-10-19 09:06:21.875851+00:00,agv_003,41.9,0.4,91.3,358.7,2.2,744.0,yes,rerouting,19.9,61.3,80.1,45.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:06:40.697008+00:00,agv_003,47.3,0.01,60.3,1493.3,2.9,242.3,no,en_route,409.4,28.4,127.4,1.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:07:00.971462+00:00,agv_003,49.6,0.11,86.5,12.5,3.5,695.4,yes,rerouting,255.6,93.2,127.8,79.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:07:20.366003+00:00,agv_003,41.5,0.21,57.4,981.8,2.3,641.8,yes,en_route,241.5,66.1,11.3,150.7
AGV - agv_003,AGV,agv_003,2024-10-19 09:07:40.385011+00:00,agv_003,41.3,0.23,82.2,1044.2,3.5,1587.1,yes,rerouting,98.5,68.3,56.7,21.2
AGV - agv_003,AGV,agv_003,2024-10-19 09:08:00.767529+00:00,agv_003,21.6,0.12,47.2,1439.2,0.6,1111.8,yes,waiting,193.5,110.0,73.9,164.2
AGV - agv_003,AGV,agv_003,2024-10-19 09:08:20.874546+00:00,agv_003,30.6,0.28,33.3,1351.0,0.5,1161.4,yes,waiting,232.7,20.4,130.7,84.6
AGV - agv_003,AGV,agv_003,2024-10-19 09:08:40.803376+00:00,agv_003,1.1,0.44,45.5,1071.2,0.1,1025.4,no,en_route,5.6,73.0,76.4,194.6
AGV - agv_003,AGV,agv_003,2024-10-19 09:09:00.449135+00:00,agv_003,8.2,0.31,66.0,104.4,2.4,833.3,no,rerouting,9.1,62.4,91.8,112.5
AGV - agv_003,AGV,agv_003,2024-10-19 09:09:20.905989+00:00,agv_003,24.3,0.44,16.9,371.0,4.3,1198.5,no,rerouting,432.8,199.5,183.6,85.7
AGV - agv_003,AGV,agv_003,2024-10-19 09:09:40.473740+00:00,agv_003,32.5,0.33,34.0,614.0,0.3,1795.3,yes,waiting,364.0,146.3,2.8,99.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:10:00.506028+00:00,agv_003,33.5,0.29,18.3,124.6,0.4,1004.2,yes,rerouting,367.8,74.4,98.5,139.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:10:21.004577+00:00,agv_003,12.3,0.25,44.9,118.0,1.7,1609.9,yes,en_route,453.8,70.0,10.9,28.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:10:40.926378+00:00,agv_003,22.5,0.19,78.9,965.4,1.5,536.7,yes,en_route,253.1,129.4,85.8,75.7
AGV - agv_003,AGV,agv_003,2024-10-19 09:11:01.097639+00:00,agv_003,26.4,0.07,31.5,553.9,2.0,1452.7,yes,waiting,283.1,29.4,194.8,104.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:11:20.976723+00:00,agv_003,43.0,0.04,59.0,284.8,3.6,672.6,no,rerouting,344.5,95.8,48.5,40.2
AGV - agv_003,AGV,agv_003,2024-10-19 09:11:40.588496+00:00,agv_003,27.9,0.05,79.3,1261.6,2.6,451.1,no,waiting,432.0,185.1,81.1,178.4
AGV - agv_003,AGV,agv_003,2024-10-19 09:12:01.162649+00:00,agv_003,37.2,0.02,55.1,647.1,0.0,267.4,no,en_route,298.6,191.1,178.1,66.2
AGV - agv_003,AGV,agv_003,2024-10-19 09:12:20.669722+00:00,agv_003,41.4,0.02,72.1,796.1,4.4,1362.4,yes,waiting,457.4,0.8,162.1,50.6
AGV - agv_003,AGV,agv_003,2024-10-19 09:12:41.457475+00:00,agv_003,10.0,0.47,72.1,1130.4,2.7,914.7,yes,en_route,12.3,45.9,19.7,160.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:13:01.267170+00:00,agv_003,3.8,0.2,57.9,254.0,3.5,1413.0,no,en_route,39.9,38.6,117.4,94.2
AGV - agv_003,AGV,agv_003,2024-10-19 09:13:20.725473+00:00,agv_003,47.4,0.36,67.0,292.8,1.2,98.6,no,en_route,124.8,140.1,168.1,66.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:13:40.722966+00:00,agv_003,40.1,0.44,4.9,205.5,2.4,164.2,no,rerouting,313.7,114.3,86.9,11.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:14:00.765319+00:00,agv_003,43.7,0.42,79.6,1352.7,4.4,1924.7,yes,en_route,426.3,98.2,33.2,63.8
AGV - agv_003,AGV,agv_003,2024-10-19 09:14:21.404310+00:00,agv_003,15.4,0.13,28.1,921.0,1.5,1354.1,no,waiting,372.0,104.4,12.0,115.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:14:41.130127+00:00,agv_003,24.1,0.36,82.6,902.4,3.8,1360.6,no,rerouting,357.1,26.0,60.8,28.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:15:00.805225+00:00,agv_003,24.2,0.22,24.8,1289.8,1.0,793.2,yes,waiting,201.8,41.2,66.3,193.8
AGV - agv_003,AGV,agv_003,2024-10-19 09:15:21.133781+00:00,agv_003,9.5,0.09,9.4,1112.5,1.8,1739.0,yes,rerouting,233.1,136.2,119.3,114.8
AGV - agv_003,AGV,agv_003,2024-10-19 09:15:41.388659+00:00,agv_003,20.2,0.03,97.6,1034.5,2.8,206.5,no,rerouting,355.7,188.4,21.7,74.0
AGV - agv_003,AGV,agv_003,2024-10-19 09:16:01.628294+00:00,agv_003,2.7,0.09,71.7,102.1,1.0,1257.4,no,en_route,416.5,54.1,72.8,14.4
AGV - agv_003,AGV,agv_003,2024-10-19 09:16:21.247664+00:00,agv_003,15.2,0.15,85.3,227.9,2.0,1124.9,yes,rerouting,202.3,47.1,115.5,191.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:16:41.426892+00:00,agv_003,0.3,0.34,22.5,391.0,2.1,1345.8,no,waiting,112.8,50.5,87.0,199.5
AGV - agv_003,AGV,agv_003,2024-10-19 09:17:01.326034+00:00,agv_003,14.7,0.23,64.0,122.7,4.1,21.9,yes,en_route,171.2,53.7,17.7,166.6
AGV - agv_003,AGV,agv_003,2024-10-19 09:17:21.254237+00:00,agv_003,2.3,0.46,7.8,749.3,3.2,1015.2,no,rerouting,270.2,98.2,97.9,196.0
AGV - agv_003,AGV,agv_003,2024-10-19 09:17:41.366314+00:00,agv_003,10.3,0.16,3.8,1283.2,2.1,1732.9,no,rerouting,438.1,126.6,89.2,171.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:18:01.255696+00:00,agv_003,15.0,0.18,72.2,1217.4,1.4,624.5,yes,rerouting,455.6,186.8,189.7,21.0
AGV - agv_003,AGV,agv_003,2024-10-19 09:18:21.266266+00:00,agv_003,22.3,0.31,13.3,702.0,0.6,1504.4,no,en_route,260.3,38.5,13.5,160.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:18:41.355118+00:00,agv_003,47.7,0.25,45.2,1377.5,1.7,1151.4,no,waiting,7.1,147.8,72.7,107.7
AGV - agv_003,AGV,agv_003,2024-10-19 09:19:00.962522+00:00,agv_003,30.2,0.04,1.8,300.0,4.9,954.5,yes,en_route,197.1,43.8,131.3,106.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:19:20.977348+00:00,agv_003,49.4,0.07,69.4,253.8,3.6,1262.7,no,en_route,97.3,121.0,39.1,21.2
AGV - agv_003,AGV,agv_003,2024-10-19 09:19:41.354406+00:00,agv_003,31.3,0.5,79.8,621.1,2.4,1438.6,no,en_route,301.2,156.2,165.6,74.8
AGV - agv_003,AGV,agv_003,2024-10-19 09:20:01.418735+00:00,agv_003,38.0,0.44,96.3,442.6,4.0,735.5,yes,rerouting,153.7,184.0,84.5,0.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:20:21.035918+00:00,agv_003,6.6,0.27,99.3,1388.1,0.3,1310.5,yes,rerouting,56.1,150.5,177.8,194.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:20:41.467836+00:00,agv_003,32.4,0.4,80.1,857.4,2.0,13.2,no,en_route,351.9,61.4,87.0,85.5
AGV - agv_003,AGV,agv_003,2024-10-19 09:21:01.066705+00:00,agv_003,49.3,0.48,46.6,773.5,0.6,63.0,no,en_route,125.2,166.0,103.5,139.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:21:21.079771+00:00,agv_003,25.7,0.42,79.9,608.1,2.5,1198.9,yes,en_route,271.3,91.1,187.5,20.2
AGV - agv_003,AGV,agv_003,2024-10-19 09:21:41.527057+00:00,agv_003,49.8,0.27,2.8,678.4,2.7,683.2,no,rerouting,210.8,196.2,107.5,57.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:22:01.107464+00:00,agv_003,9.8,0.49,23.6,1333.9,2.2,341.2,yes,waiting,139.4,185.8,171.4,13.2
AGV - agv_003,AGV,agv_003,2024-10-19 09:22:21.625621+00:00,agv_003,18.0,0.09,89.9,674.8,2.4,1336.1,yes,waiting,306.6,96.7,141.6,151.7
AGV - agv_003,AGV,agv_003,2024-10-19 09:22:41.159597+00:00,agv_003,22.7,0.37,47.6,467.9,3.0,810.4,yes,rerouting,378.5,136.5,133.1,172.7
AGV - agv_003,AGV,agv_003,2024-10-19 09:23:01.178018+00:00,agv_003,6.3,0.29,82.8,761.9,3.9,427.2,yes,en_route,2.5,84.1,192.1,99.4
AGV - agv_003,AGV,agv_003,2024-10-19 09:23:21.191792+00:00,agv_003,14.3,0.07,96.9,1123.5,4.2,406.1,yes,rerouting,41.7,73.9,144.4,27.0
AGV - agv_003,AGV,agv_003,2024-10-19 09:23:41.674078+00:00,agv_003,34.1,0.11,59.5,1424.7,2.7,590.5,yes,en_route,381.5,143.4,70.6,81.6
AGV - agv_003,AGV,agv_003,2024-10-19 09:24:01.699887+00:00,agv_003,12.5,0.16,25.5,44.1,1.8,672.3,yes,waiting,485.1,2.0,112.1,58.0
AGV - agv_003,AGV,agv_003,2024-10-19 09:24:21.812412+00:00,agv_003,2.5,0.09,91.4,1147.0,1.5,794.5,yes,en_route,119.2,149.2,149.3,43.5
AGV - agv_003,AGV,agv_003,2024-10-19 09:24:41.787332+00:00,agv_003,7.2,0.04,34.0,838.9,1.1,975.5,no,rerouting,370.3,11.0,109.1,80.0
AGV - agv_003,AGV,agv_003,2024-10-19 09:25:01.786640+00:00,agv_003,6.6,0.34,56.5,1240.4,2.8,407.7,no,en_route,30.1,3.1,119.4,89.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:25:21.297758+00:00,agv_003,29.0,0.43,16.4,1262.7,2.3,935.2,yes,en_route,261.9,192.5,20.6,180.4
AGV - agv_003,AGV,agv_003,2024-10-19 09:25:40.336116+00:00,agv_003,9.3,0.39,32.2,642.0,4.7,807.4,no,waiting,155.1,130.5,110.9,26.7
AGV - agv_003,AGV,agv_003,2024-10-19 09:26:00.805695+00:00,agv_003,10.8,0.09,88.8,1111.6,1.6,1992.1,no,rerouting,355.1,4.0,94.7,72.2
AGV - agv_003,AGV,agv_003,2024-10-19 09:26:20.369119+00:00,agv_003,21.5,0.09,4.9,1337.0,0.9,1579.0,no,rerouting,380.0,3.0,84.1,117.4
AGV - agv_003,AGV,agv_003,2024-10-19 09:26:40.765547+00:00,agv_003,38.3,0.44,40.7,1475.6,1.7,907.1,yes,rerouting,328.9,125.8,36.9,155.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:27:01.250405+00:00,agv_003,10.4,0.36,52.1,210.3,1.8,942.1,no,waiting,378.5,89.6,105.7,54.6
AGV - agv_003,AGV,agv_003,2024-10-19 09:27:20.431439+00:00,agv_003,12.5,0.12,70.8,1433.4,4.6,1732.7,yes,en_route,175.0,53.0,25.8,168.6
AGV - agv_003,AGV,agv_003,2024-10-19 09:27:40.843078+00:00,agv_003,20.4,0.11,34.6,1116.4,4.4,600.8,yes,en_route,361.0,196.0,49.1,8.7
AGV - agv_003,AGV,agv_003,2024-10-19 09:28:00.464157+00:00,agv_003,20.5,0.06,57.9,847.6,0.4,1699.9,yes,rerouting,419.2,11.5,119.9,166.0
AGV - agv_003,AGV,agv_003,2024-10-19 09:28:20.488250+00:00,agv_003,36.9,0.43,16.3,1060.6,3.5,317.9,yes,en_route,27.0,23.2,139.6,36.4
AGV - agv_003,AGV,agv_003,2024-10-19 09:28:40.511030+00:00,agv_003,7.0,0.26,57.9,1448.7,1.6,1863.0,yes,rerouting,437.6,127.7,129.5,160.5
AGV - agv_003,AGV,agv_003,2024-10-19 09:29:00.997899+00:00,agv_003,35.8,0.17,23.8,863.7,0.8,858.7,yes,en_route,249.2,21.8,137.4,22.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:29:22.015105+00:00,agv_003,38.3,0.01,98.4,527.4,3.4,1905.5,no,en_route,201.2,63.1,69.0,78.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:29:40.570798+00:00,agv_003,23.8,0.22,74.0,569.8,0.4,1323.7,no,rerouting,284.4,66.7,169.3,154.0
AGV - agv_003,AGV,agv_003,2024-10-19 09:30:01.217183+00:00,agv_003,36.6,0.4,15.8,1354.3,3.9,1432.9,no,en_route,370.6,59.5,193.0,33.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:30:21.044207+00:00,agv_003,41.4,0.32,40.1,1094.2,0.9,707.8,no,en_route,341.3,110.9,186.3,16.4
AGV - agv_003,AGV,agv_003,2024-10-19 09:30:40.617453+00:00,agv_003,47.4,0.08,45.1,995.6,3.4,1559.3,yes,waiting,119.3,74.1,19.2,196.4
AGV - agv_003,AGV,agv_003,2024-10-19 09:31:00.640477+00:00,agv_003,31.8,0.04,70.2,86.5,4.9,1790.4,no,rerouting,275.0,25.1,126.8,153.8
AGV - agv_003,AGV,agv_003,2024-10-19 09:31:21.095693+00:00,agv_003,36.1,0.43,65.1,1078.4,2.0,1776.8,yes,rerouting,401.3,157.5,105.3,186.4
AGV - agv_003,AGV,agv_003,2024-10-19 09:31:41.102593+00:00,agv_003,46.9,0.46,88.9,1122.7,3.2,907.3,no,waiting,189.2,167.5,80.6,199.8
AGV - agv_003,AGV,agv_003,2024-10-19 09:32:01.240363+00:00,agv_003,35.2,0.08,51.5,228.2,3.8,461.9,no,waiting,464.5,193.0,119.9,72.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:32:21.415191+00:00,agv_003,23.8,0.05,60.1,676.9,0.3,706.3,yes,rerouting,450.3,62.3,30.9,86.0
AGV - agv_003,AGV,agv_003,2024-10-19 09:32:41.199484+00:00,agv_003,8.3,0.3,71.1,844.3,4.1,97.2,yes,waiting,73.8,178.1,130.6,21.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:33:01.175158+00:00,agv_003,44.5,0.02,76.7,363.9,4.5,761.1,no,rerouting,343.6,193.2,48.1,48.7
AGV - agv_003,AGV,agv_003,2024-10-19 09:33:21.322711+00:00,agv_003,24.6,0.07,20.6,750.1,4.7,855.7,no,rerouting,28.0,23.0,166.8,12.4
AGV - agv_003,AGV,agv_003,2024-10-19 09:33:41.168376+00:00,agv_003,36.2,0.11,86.9,55.8,1.1,313.4,yes,rerouting,11.3,129.9,59.3,122.6
AGV - agv_003,AGV,agv_003,2024-10-19 09:34:01.338027+00:00,agv_003,41.0,0.25,87.2,1121.0,0.1,1124.9,no,en_route,495.0,69.9,60.8,95.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:34:21.327183+00:00,agv_003,23.3,0.4,64.0,1151.5,3.9,778.8,yes,en_route,410.1,96.6,13.1,97.2
AGV - agv_003,AGV,agv_003,2024-10-19 09:34:41.594015+00:00,agv_003,4.9,0.49,59.2,500.2,1.8,167.1,yes,rerouting,42.1,3.5,171.7,16.7
AGV - agv_003,AGV,agv_003,2024-10-19 09:35:01.377139+00:00,agv_003,22.4,0.31,9.3,1043.8,3.9,506.1,no,waiting,269.2,30.5,73.5,46.5
AGV - agv_003,AGV,agv_003,2024-10-19 09:35:21.451789+00:00,agv_003,34.5,0.4,22.1,629.6,0.1,905.6,yes,waiting,66.7,101.5,162.9,65.0
AGV - agv_003,AGV,agv_003,2024-10-19 09:35:41.268285+00:00,agv_003,5.7,0.42,99.2,1137.7,0.9,1963.2,no,en_route,327.5,154.9,49.3,99.8
AGV - agv_003,AGV,agv_003,2024-10-19 09:36:01.318574+00:00,agv_003,1.1,0.5,37.3,524.0,1.3,1888.5,yes,rerouting,68.8,171.6,51.4,24.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:36:21.301358+00:00,agv_003,12.6,0.3,48.8,800.1,4.1,1560.9,yes,en_route,332.3,172.1,90.4,188.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:36:41.334798+00:00,agv_003,31.4,0.12,87.2,603.5,2.9,248.4,no,en_route,405.2,170.9,141.5,9.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:37:02.094382+00:00,agv_003,32.5,0.48,69.9,1247.6,0.3,1676.4,yes,rerouting,372.7,18.0,195.3,78.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:37:21.448270+00:00,agv_003,15.7,0.38,6.0,531.8,2.1,1929.7,yes,rerouting,137.3,37.4,190.3,99.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:37:42.690401+00:00,agv_003,36.4,0.31,51.9,1229.1,1.7,1190.7,yes,en_route,364.7,146.3,177.0,169.5
AGV - agv_003,AGV,agv_003,2024-10-19 09:38:01.875898+00:00,agv_003,22.4,0.44,93.1,78.1,0.6,1680.1,no,waiting,106.1,53.7,128.1,16.5
AGV - agv_003,AGV,agv_003,2024-10-19 09:38:21.402722+00:00,agv_003,44.8,0.21,3.1,569.1,0.5,735.7,yes,waiting,173.1,186.6,56.5,89.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:38:41.480625+00:00,agv_003,12.8,0.49,95.7,88.0,2.3,735.2,no,rerouting,15.3,141.3,197.5,3.4
AGV - agv_003,AGV,agv_003,2024-10-19 09:39:01.444607+00:00,agv_003,14.2,0.22,46.6,656.3,1.0,836.3,no,en_route,436.6,139.3,82.0,45.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:39:21.494775+00:00,agv_003,29.0,0.24,36.7,963.9,3.3,189.4,yes,rerouting,111.1,57.2,55.2,62.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:39:41.435989+00:00,agv_003,40.1,0.31,88.7,516.9,4.8,1009.3,yes,rerouting,107.9,34.9,57.8,45.2
AGV - agv_003,AGV,agv_003,2024-10-19 09:40:01.483563+00:00,agv_003,10.2,0.35,34.6,907.4,0.5,1872.4,no,waiting,396.2,178.5,28.9,194.7
AGV - agv_003,AGV,agv_003,2024-10-19 09:40:21.477560+00:00,agv_003,21.4,0.46,65.1,555.0,3.5,1803.7,no,en_route,243.3,128.0,24.0,51.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:40:41.517958+00:00,agv_003,4.0,0.43,31.9,817.1,3.0,1081.4,yes,en_route,55.9,106.2,24.4,87.5
AGV - agv_003,AGV,agv_003,2024-10-19 09:41:01.806107+00:00,agv_003,27.0,0.37,14.0,280.7,0.3,1642.5,no,rerouting,439.5,148.1,95.0,140.0
AGV - agv_003,AGV,agv_003,2024-10-19 09:41:21.596180+00:00,agv_003,14.5,0.27,41.6,1047.3,0.2,401.0,no,en_route,150.3,81.0,141.6,107.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:41:41.717965+00:00,agv_003,49.1,0.27,26.3,798.9,3.0,2000.0,no,waiting,337.6,27.3,141.9,155.0
AGV - agv_003,AGV,agv_003,2024-10-19 09:42:01.813050+00:00,agv_003,43.4,0.24,4.6,180.0,0.2,893.6,yes,waiting,186.9,25.9,64.8,52.5
AGV - agv_003,AGV,agv_003,2024-10-19 09:42:21.762393+00:00,agv_003,24.5,0.32,5.7,96.4,1.3,1437.4,no,rerouting,42.9,143.6,11.0,5.0
AGV - agv_003,AGV,agv_003,2024-10-19 09:42:41.853762+00:00,agv_003,46.2,0.04,47.2,656.4,1.4,1077.7,yes,rerouting,351.9,26.8,170.5,50.7
AGV - agv_003,AGV,agv_003,2024-10-19 09:43:02.005318+00:00,agv_003,33.3,0.44,56.5,1422.5,3.7,1264.5,yes,waiting,320.0,49.0,109.9,54.4
AGV - agv_003,AGV,agv_003,2024-10-19 09:43:21.751753+00:00,agv_003,45.2,0.32,7.0,79.0,3.3,1515.1,no,en_route,274.7,40.0,57.3,97.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:43:41.314714+00:00,agv_003,17.2,0.29,35.2,1196.3,2.3,599.0,yes,en_route,94.4,110.9,78.9,199.6
AGV - agv_003,AGV,agv_003,2024-10-19 09:44:01.732017+00:00,agv_003,48.8,0.4,48.7,772.6,3.2,134.9,yes,waiting,471.2,164.7,39.8,20.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:44:20.804384+00:00,agv_003,30.3,0.26,33.6,839.8,3.9,390.8,no,waiting,60.8,36.3,87.9,137.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:44:40.814359+00:00,agv_003,27.0,0.48,26.5,1209.4,0.1,1813.9,yes,waiting,132.7,66.0,10.3,32.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:45:00.971562+00:00,agv_003,47.5,0.05,52.3,198.7,0.5,1140.9,no,waiting,162.8,128.2,188.0,9.6
AGV - agv_003,AGV,agv_003,2024-10-19 09:45:21.230058+00:00,agv_003,17.1,0.47,38.2,1400.6,4.0,1436.3,no,en_route,365.9,40.6,165.0,120.7
AGV - agv_003,AGV,agv_003,2024-10-19 09:45:40.780391+00:00,agv_003,46.7,0.42,67.9,746.9,4.2,341.7,yes,waiting,187.2,89.1,99.4,128.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:46:01.134987+00:00,agv_003,22.2,0.26,90.7,847.8,1.8,1567.4,yes,waiting,39.0,191.7,164.2,122.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:46:20.932322+00:00,agv_003,18.0,0.24,71.1,209.0,4.5,1662.3,yes,en_route,224.2,11.2,151.5,113.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:46:40.436067+00:00,agv_003,18.8,0.32,68.3,1359.4,3.9,1975.9,no,waiting,447.7,16.9,177.4,112.6
AGV - agv_003,AGV,agv_003,2024-10-19 09:47:00.829473+00:00,agv_003,45.8,0.26,29.3,211.2,3.4,537.9,no,en_route,42.6,105.5,25.7,153.5
AGV - agv_003,AGV,agv_003,2024-10-19 09:47:21.090288+00:00,agv_003,21.1,0.21,55.6,5.0,0.2,1660.8,no,rerouting,328.9,17.4,89.7,81.5
AGV - agv_003,AGV,agv_003,2024-10-19 09:47:40.915073+00:00,agv_003,17.7,0.1,57.3,575.2,3.5,1998.1,no,waiting,455.3,50.0,43.4,131.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:48:01.208960+00:00,agv_003,3.1,0.37,75.1,1455.7,1.9,1994.0,yes,rerouting,405.0,97.1,126.5,80.0
AGV - agv_003,AGV,agv_003,2024-10-19 09:48:21.308492+00:00,agv_003,23.0,0.17,52.1,583.0,4.6,343.1,yes,en_route,14.7,93.0,50.1,125.1
AGV - agv_003,AGV,agv_003,2024-10-19 09:48:41.241919+00:00,agv_003,23.0,0.37,82.6,793.8,1.5,1447.3,no,rerouting,456.3,194.6,67.0,114.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:49:01.052322+00:00,agv_003,47.5,0.46,45.8,1265.2,3.6,400.2,yes,rerouting,242.6,64.8,38.2,19.0
AGV - agv_003,AGV,agv_003,2024-10-19 09:49:20.954502+00:00,agv_003,6.5,0.33,95.1,794.6,0.9,755.6,yes,en_route,352.9,196.6,183.4,187.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:49:40.970145+00:00,agv_003,16.9,0.47,28.3,254.1,2.8,239.8,yes,rerouting,314.3,69.0,163.9,46.5
AGV - agv_003,AGV,agv_003,2024-10-19 09:50:01.021789+00:00,agv_003,21.6,0.41,58.0,1478.9,0.0,53.8,yes,waiting,97.6,97.2,162.3,124.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:50:21.437522+00:00,agv_003,4.2,0.44,3.9,1040.5,1.9,1379.9,no,waiting,436.5,87.3,16.8,136.3
AGV - agv_003,AGV,agv_003,2024-10-19 09:50:41.298089+00:00,agv_003,29.1,0.42,5.5,72.5,0.6,232.4,no,waiting,455.2,164.2,16.6,13.9
AGV - agv_003,AGV,agv_003,2024-10-19 09:51:01.214611+00:00,agv_003,29.6,0.37,84.6,845.1,1.0,621.7,yes,waiting,374.4,199.3,124.0,153.2
AGV - agv_003,AGV,agv_003,2024-10-19 09:51:21.302321+00:00,agv_003,21.8,0.16,14.2,88.4,4.8,823.0,no,en_route,360.7,123.3,44.4,32.7
AGV - agv_003,AGV,agv_003,2024-10-19 09:51:40.708634+00:00,agv_003,25.6,0.18,86.9,964.8,3.7,787.7,no,waiting,490.6,3.8,143.0,147.8
