Machine,Type,Machine ID,Timestamp,machine_id,temperature,spray_pressure,paint_thickness,humidity,paint_flow_rate,paint_volume_used,atomizer_speed,overspray_capture_efficiency,booth_airflow_velocity,solvent_concentration,x,y,z
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:04:46.273528+00:00,painting_robot_002,48.2,2.1,116.6,66.5,0.1,1.3,1347.8,70.1,0.92,3.1,189.5,108.9,36.7
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:05:06.254413+00:00,painting_robot_002,45.5,4.0,17.1,17.7,2.7,1.9,1832.8,73.4,0.96,3.3,159.2,66.2,101.7
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:05:19.572116+00:00,painting_robot_002,32.5,3.0,26.1,37.0,2.0,0.0,2051.9,31.8,0.15,3.1,60.7,87.7,186.7
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:05:46.214507+00:00,painting_robot_002,2.2,1.8,94.6,26.5,4.9,0.7,509.2,54.5,0.96,2.8,34.3,82.4,16.8
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:05:50.646682+00:00,painting_robot_002,16.8,3.0,106.2,83.7,1.2,0.1,1811.2,97.4,0.55,0.1,74.8,180.5,178.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:06:26.035717+00:00,painting_robot_002,30.5,2.1,94.4,19.7,3.4,0.9,167.8,7.2,0.38,1.5,14.4,103.4,32.6
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:06:30.491765+00:00,painting_robot_002,3.7,3.9,2.1,5.5,3.3,1.2,1610.1,54.1,0.62,3.1,75.7,20.7,147.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:07:06.008559+00:00,painting_robot_002,14.7,4.4,121.6,75.3,0.6,0.4,2737.0,28.2,0.08,4.4,15.8,190.4,193.4
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:07:19.286681+00:00,painting_robot_002,13.1,1.1,98.8,22.1,0.9,2.0,52.7,53.1,0.55,3.4,30.1,12.1,164.9
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:07:34.830475+00:00,painting_robot_002,1.7,3.1,102.5,92.6,4.8,1.7,1891.4,54.9,0.86,1.2,25.9,144.2,136.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:07:50.360257+00:00,painting_robot_002,0.6,3.6,108.3,32.9,2.6,1.8,2803.4,69.6,0.11,3.1,190.6,0.6,84.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:08:23.570822+00:00,painting_robot_002,17.8,0.7,75.5,96.5,4.0,1.3,758.5,15.6,0.11,3.2,35.7,31.1,96.3
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:08:43.546150+00:00,painting_robot_002,10.8,0.5,34.3,67.8,3.1,1.9,1759.3,6.3,0.77,3.5,125.0,109.3,35.6
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:08:54.609946+00:00,painting_robot_002,35.3,3.8,87.9,80.4,1.9,1.5,1127.0,82.1,0.84,2.2,128.7,91.4,100.8
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:09:10.194403+00:00,painting_robot_002,37.7,1.7,65.9,87.0,3.6,0.6,742.4,29.5,0.99,2.9,18.8,98.3,93.8
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:09:39.002606+00:00,painting_robot_002,29.2,1.1,117.3,58.4,1.2,0.3,2628.7,17.8,0.51,3.3,70.4,116.1,181.9
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:09:58.942174+00:00,painting_robot_002,41.7,4.6,31.1,52.7,3.4,1.3,2909.9,5.4,0.55,4.0,71.0,196.0,111.4
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:10:25.570568+00:00,painting_robot_002,34.2,1.9,89.0,47.1,4.1,0.1,2898.9,41.6,0.54,2.8,27.3,26.9,196.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:10:29.990338+00:00,painting_robot_002,37.6,3.5,25.2,66.4,1.6,1.0,1674.8,39.3,0.85,3.5,59.7,142.9,42.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:11:05.516935+00:00,painting_robot_002,5.1,2.4,95.5,33.3,2.5,0.1,2034.4,72.3,0.58,0.7,157.3,89.7,41.7
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:11:09.997179+00:00,painting_robot_002,3.1,3.4,133.3,82.1,2.0,0.8,2760.9,0.5,0.9,5.0,131.3,190.0,21.8
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:11:40.983053+00:00,painting_robot_002,40.4,3.5,137.3,4.6,2.7,1.2,2629.8,32.4,0.87,3.1,86.1,77.0,147.7
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:11:49.823414+00:00,painting_robot_002,7.2,4.2,69.7,47.6,1.0,1.8,2956.7,59.5,0.09,0.2,164.6,73.1,174.3
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:12:18.679242+00:00,painting_robot_002,39.2,2.9,64.6,84.6,4.1,1.2,1164.7,50.2,0.75,4.7,181.1,188.8,170.5
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:12:45.274951+00:00,painting_robot_002,1.1,1.6,45.5,56.0,1.2,1.3,1702.4,2.3,0.1,0.3,199.7,182.4,137.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:13:05.274629+00:00,painting_robot_002,20.4,2.4,117.2,40.1,3.0,1.5,2932.5,13.7,0.59,3.8,18.5,13.6,81.4
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:13:14.165891+00:00,painting_robot_002,21.2,3.8,6.7,64.9,3.4,1.6,759.4,27.9,0.96,3.2,32.8,151.8,195.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:13:41.247155+00:00,painting_robot_002,28.6,2.5,36.7,12.8,2.0,1.3,346.3,80.6,0.38,4.9,22.7,137.5,60.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:13:56.307524+00:00,painting_robot_002,45.2,2.5,45.6,90.0,1.4,0.5,366.2,83.0,0.0,4.7,61.5,85.5,54.8
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:14:25.094882+00:00,painting_robot_002,42.2,4.9,7.6,36.1,4.4,0.6,586.8,34.6,0.1,4.5,27.8,61.3,73.9
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:14:54.586185+00:00,painting_robot_002,47.0,2.8,91.9,24.5,3.6,0.5,627.5,99.9,0.82,3.7,90.0,37.6,179.9
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:15:00.602253+00:00,painting_robot_002,30.2,0.6,8.0,60.4,4.9,1.7,907.4,1.3,0.33,0.4,53.4,24.5,78.4
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:15:25.007960+00:00,painting_robot_002,22.7,4.5,16.9,42.0,4.8,1.7,733.5,88.2,0.67,1.5,100.4,64.4,9.0
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:15:29.520164+00:00,painting_robot_002,24.5,3.3,54.6,96.4,3.7,0.4,924.3,10.2,0.63,4.5,7.9,73.9,125.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:16:04.991955+00:00,painting_robot_002,0.2,0.4,75.8,24.0,3.0,0.1,901.5,58.7,0.95,2.4,77.3,82.2,175.6
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:16:24.928619+00:00,painting_robot_002,47.9,1.5,5.6,33.3,4.5,1.2,2474.3,97.7,0.15,1.3,150.9,103.9,145.8
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:16:44.883661+00:00,painting_robot_002,21.1,3.0,35.0,47.7,1.5,0.4,1853.3,50.5,0.21,4.4,73.3,165.6,151.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:17:04.908067+00:00,painting_robot_002,47.4,1.3,44.9,65.3,3.6,1.7,694.2,84.9,0.81,2.4,76.1,113.9,198.0
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:17:24.861920+00:00,painting_robot_002,0.0,4.8,13.0,54.3,4.4,1.8,1655.1,26.2,0.68,1.7,111.7,93.0,125.6
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:17:44.830171+00:00,painting_robot_002,5.1,2.4,54.2,96.3,2.4,1.3,2059.3,63.4,0.03,4.2,67.8,53.3,26.3
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:17:49.243753+00:00,painting_robot_002,45.1,1.5,72.8,26.5,1.0,0.6,550.1,61.5,0.57,0.4,120.8,182.6,57.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:18:09.211085+00:00,painting_robot_002,18.3,3.3,70.9,80.2,0.8,1.3,589.9,3.7,0.77,0.8,159.2,13.8,188.8
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:18:44.680665+00:00,painting_robot_002,0.4,2.7,60.1,18.0,4.4,1.0,192.0,87.3,0.25,0.6,94.6,45.1,86.9
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:19:16.188914+00:00,painting_robot_002,49.2,2.7,121.9,5.7,3.9,1.2,153.9,31.3,0.84,0.4,163.9,38.2,116.7
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:19:17.916283+00:00,painting_robot_002,14.7,0.6,36.2,42.6,3.0,1.3,1537.6,56.9,0.14,0.7,81.3,3.9,69.6
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:19:44.588780+00:00,painting_robot_002,22.5,0.1,144.6,79.9,1.5,1.8,2965.0,52.3,0.21,4.7,62.4,56.6,179.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:19:49.005881+00:00,painting_robot_002,28.3,4.1,111.3,89.5,4.5,0.8,1344.4,8.3,0.55,0.7,0.4,147.4,19.5
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:20:19.992222+00:00,painting_robot_002,47.0,4.8,24.6,35.9,3.5,1.5,2369.6,61.9,0.2,2.9,196.2,53.1,160.0
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:20:44.373340+00:00,painting_robot_002,16.6,4.8,123.7,33.1,2.4,0.2,753.6,45.9,0.35,0.7,169.4,101.0,37.8
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:20:59.887725+00:00,painting_robot_002,17.8,4.2,83.1,4.3,1.1,0.5,1972.3,20.9,0.45,3.6,54.9,174.3,88.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:21:15.407863+00:00,painting_robot_002,30.1,2.1,146.1,34.4,1.7,2.0,2779.1,84.7,0.91,2.6,15.6,18.7,35.0
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:21:44.269751+00:00,painting_robot_002,38.1,0.2,76.1,31.3,1.1,1.9,1810.4,64.8,0.23,2.0,48.5,105.9,23.9
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:21:59.803007+00:00,painting_robot_002,37.3,4.5,16.9,65.8,4.2,0.1,2074.8,89.6,0.05,2.6,134.0,111.5,130.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:22:24.949044+00:00,painting_robot_002,31.3,2.0,26.5,74.4,4.7,1.0,964.9,40.3,0.19,2.1,134.9,186.1,83.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:22:35.578705+00:00,painting_robot_002,23.7,4.7,30.2,16.0,0.9,0.3,783.9,5.7,0.22,0.7,158.0,149.0,95.5
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:23:06.877738+00:00,painting_robot_002,43.5,2.2,111.3,69.1,1.6,0.1,379.9,71.8,0.66,0.3,168.8,137.4,132.7
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:23:15.508145+00:00,painting_robot_002,2.3,3.6,140.4,17.7,2.5,1.2,897.4,18.8,0.12,4.6,55.1,5.5,74.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:23:44.297056+00:00,painting_robot_002,39.3,3.7,62.0,71.4,3.6,1.2,1274.3,60.2,0.37,3.3,114.7,0.6,117.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:23:50.955584+00:00,painting_robot_002,19.0,1.4,38.5,58.5,0.3,1.2,1851.6,89.1,0.38,0.7,106.2,195.3,106.0
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:24:24.255599+00:00,painting_robot_002,17.1,4.4,106.4,2.3,0.0,2.0,196.5,60.7,0.55,4.6,17.9,160.7,15.6
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:24:46.493087+00:00,painting_robot_002,49.0,1.0,117.5,50.0,3.5,1.4,1461.4,18.4,0.46,1.3,115.1,37.4,63.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:25:04.234649+00:00,painting_robot_002,44.5,2.7,80.1,64.6,4.6,1.5,620.9,64.0,0.38,1.9,159.4,96.8,21.8
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:25:17.536616+00:00,painting_robot_002,17.6,1.5,14.6,49.7,4.3,1.0,2750.4,72.5,0.86,2.8,195.9,139.0,116.7
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:25:30.864728+00:00,painting_robot_002,27.5,2.2,21.6,21.5,0.1,0.4,1486.1,49.7,0.66,0.7,191.9,116.5,162.5
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:26:06.321774+00:00,painting_robot_002,13.5,1.5,58.2,35.6,0.8,0.0,1583.1,22.2,0.62,3.5,197.8,17.4,194.4
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:26:19.621527+00:00,painting_robot_002,35.5,3.8,4.6,66.9,0.0,0.5,1724.9,56.8,0.23,3.6,191.6,129.4,134.7
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:26:44.058794+00:00,painting_robot_002,2.7,3.7,123.5,98.9,3.7,0.5,1071.1,81.8,0.84,2.4,156.6,4.2,115.0
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:26:48.531152+00:00,painting_robot_002,19.8,0.9,101.0,86.2,4.3,0.8,2439.2,34.9,0.34,1.8,169.3,72.2,137.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:27:15.042770+00:00,painting_robot_002,45.0,0.7,36.9,58.9,0.7,0.0,2966.4,78.8,0.08,2.3,83.4,169.6,170.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:27:43.883487+00:00,painting_robot_002,18.0,1.3,79.0,87.1,0.8,1.6,588.0,51.1,0.85,3.8,155.3,29.5,119.4
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:27:59.432745+00:00,painting_robot_002,14.9,2.2,109.3,36.5,4.3,0.7,320.4,59.2,0.33,1.1,115.4,113.9,109.7
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:28:19.360512+00:00,painting_robot_002,31.0,3.1,17.2,56.2,0.3,1.6,773.9,30.7,0.61,4.2,4.2,33.4,49.3
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:28:34.854915+00:00,painting_robot_002,42.6,1.4,45.3,82.0,4.9,1.7,1363.5,65.4,0.66,4.3,112.1,76.0,160.7
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:28:50.402647+00:00,painting_robot_002,21.0,3.0,129.9,36.7,3.1,1.2,2639.3,73.9,0.9,3.9,13.7,134.4,75.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:29:25.875664+00:00,painting_robot_002,15.2,1.7,79.9,36.9,2.3,1.9,2652.0,65.9,0.87,2.1,6.6,34.8,175.4
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:29:34.724745+00:00,painting_robot_002,7.9,1.3,77.9,46.1,1.6,0.7,943.6,77.3,0.22,3.0,41.9,77.8,191.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:30:05.751318+00:00,painting_robot_002,28.7,4.5,29.7,33.7,2.0,0.6,1935.6,97.7,0.8,2.5,68.7,34.6,24.4
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:30:25.712067+00:00,painting_robot_002,13.7,0.2,88.7,51.4,1.6,0.3,2726.6,97.1,0.64,4.9,166.1,188.7,44.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:30:34.567664+00:00,painting_robot_002,41.6,0.6,83.9,14.4,1.1,0.4,446.8,4.9,0.22,3.6,39.7,189.7,7.5
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:30:56.735093+00:00,painting_robot_002,34.8,2.1,116.2,18.0,1.4,0.3,2922.7,92.2,0.57,2.3,141.3,156.7,152.0
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:31:25.592990+00:00,painting_robot_002,28.4,0.7,7.0,42.6,4.3,0.0,2117.6,1.6,0.07,1.0,186.7,122.4,105.3
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:31:45.546053+00:00,painting_robot_002,6.9,0.4,23.8,33.1,1.5,0.0,1547.4,37.8,0.17,1.3,132.1,31.8,196.5
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:32:05.526889+00:00,painting_robot_002,41.1,3.4,149.3,4.7,1.6,1.6,1377.5,47.2,0.75,0.1,59.4,158.8,143.3
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:32:25.505567+00:00,painting_robot_002,10.9,4.0,50.4,16.0,3.2,1.7,2253.0,58.8,0.51,3.3,5.9,110.3,154.7
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:32:45.450446+00:00,painting_robot_002,16.8,0.0,19.9,59.0,4.6,1.6,662.2,0.1,0.05,1.2,131.8,83.5,58.8
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:43:03.756683+00:00,painting_robot_002,45.4,1.7,13.4,90.6,3.8,0.1,2671.0,67.6,0.99,2.9,41.0,156.9,75.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:43:22.877479+00:00,painting_robot_002,3.2,3.4,46.2,56.4,3.2,1.0,1808.8,16.3,0.98,1.1,101.4,5.9,189.3
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:43:42.679975+00:00,painting_robot_002,23.4,4.4,53.3,0.1,2.6,1.1,1277.9,23.7,0.76,2.2,37.8,32.4,1.7
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:48:03.477212+00:00,painting_robot_002,32.5,4.3,111.1,97.5,2.9,1.7,2795.6,70.4,0.51,2.1,191.1,179.2,40.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:48:23.006695+00:00,painting_robot_002,14.6,0.8,99.1,98.9,2.5,0.3,178.9,58.3,0.52,5.0,19.3,37.9,189.6
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:48:42.286893+00:00,painting_robot_002,24.9,3.3,77.2,38.0,1.5,1.8,155.9,26.0,0.68,3.3,165.5,18.9,61.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:48:42.935004+00:00,painting_robot_002,22.6,0.9,17.2,41.8,0.0,1.5,2097.3,71.2,0.44,3.1,63.3,93.0,33.3
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:49:03.302721+00:00,painting_robot_002,33.9,0.3,129.6,56.7,4.6,1.5,674.7,6.9,0.23,1.5,194.9,41.8,107.5
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:49:23.329547+00:00,painting_robot_002,33.3,0.1,81.1,35.9,3.3,1.6,1752.7,62.7,0.36,3.7,161.1,91.8,183.0
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:49:43.471440+00:00,painting_robot_002,15.0,3.0,111.2,75.6,4.5,0.4,1849.4,54.9,0.28,4.6,30.0,153.5,129.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:50:03.184113+00:00,painting_robot_002,44.8,3.6,147.3,8.4,1.9,0.4,812.9,7.2,0.67,1.4,53.9,167.6,73.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:50:23.136697+00:00,painting_robot_002,12.0,3.6,34.6,47.7,4.0,0.7,471.0,12.2,0.33,3.7,57.5,182.1,69.3
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:50:43.066691+00:00,painting_robot_002,13.9,3.3,77.8,37.5,2.9,0.8,2704.6,74.6,0.88,2.8,151.4,195.0,127.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:51:03.247402+00:00,painting_robot_002,20.5,0.5,29.4,52.5,1.0,0.0,1644.5,22.8,0.48,1.2,149.0,92.7,143.0
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:51:23.243015+00:00,painting_robot_002,25.3,0.9,51.9,57.4,1.4,0.6,1456.1,54.7,0.01,2.9,92.7,66.0,108.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:51:43.058818+00:00,painting_robot_002,2.7,0.6,138.6,30.5,3.1,0.5,1962.1,1.0,0.54,3.1,18.9,134.1,7.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:52:03.857635+00:00,painting_robot_002,23.1,1.7,11.0,86.5,0.8,1.4,330.1,90.7,0.45,2.3,48.3,178.0,111.6
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:52:23.135018+00:00,painting_robot_002,27.2,1.6,61.9,33.6,3.3,0.6,690.6,53.9,0.99,4.8,199.6,109.7,38.0
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:52:44.477023+00:00,painting_robot_002,41.0,2.3,73.5,51.3,1.3,1.5,13.0,89.9,0.25,3.5,187.2,181.9,196.8
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:53:03.686586+00:00,painting_robot_002,33.1,1.7,102.7,19.5,3.4,1.4,1161.3,37.2,0.76,4.5,131.9,94.4,129.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:53:43.225234+00:00,painting_robot_002,38.7,2.1,57.2,7.9,0.2,0.8,664.2,22.8,0.68,2.0,52.6,136.8,162.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:54:03.111674+00:00,painting_robot_002,18.2,4.9,140.1,37.7,4.9,1.0,2401.0,25.3,0.14,1.2,72.8,84.3,120.5
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:54:23.206114+00:00,painting_robot_002,20.4,3.7,128.2,27.3,0.9,1.4,171.4,66.0,0.75,0.2,87.9,81.1,133.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:54:43.370114+00:00,painting_robot_002,22.1,2.7,72.6,73.4,3.0,1.5,2035.9,30.1,0.31,4.1,172.0,138.6,89.5
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:55:03.093490+00:00,painting_robot_002,31.2,0.4,139.8,53.7,1.0,0.0,521.3,82.2,0.5,3.8,145.8,67.9,144.5
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:55:23.080931+00:00,painting_robot_002,13.2,3.5,132.7,29.0,3.7,1.5,76.9,40.6,0.1,4.4,76.2,195.6,0.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:55:43.233147+00:00,painting_robot_002,9.8,2.2,117.5,58.3,2.5,1.2,1855.1,21.1,0.51,2.0,97.5,75.7,110.5
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:56:03.460122+00:00,painting_robot_002,13.3,1.2,3.2,47.3,1.6,0.5,1810.0,31.8,0.29,4.8,68.6,90.8,68.1
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:56:23.305999+00:00,painting_robot_002,11.2,4.6,105.0,59.9,0.0,0.1,1699.9,90.3,0.32,3.0,144.5,133.2,187.2
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:56:39.677265+00:00,painting_robot_002,11.4,0.8,67.9,70.4,4.3,0.8,2127.6,6.6,0.04,4.6,132.5,46.1,149.7
PAINTING - painting_robot_002,PAINTING,painting_robot_002,2024-10-19 09:56:43.339758+00:00,painting_robot_002,6.2,1.8,95.6,90.0,4.0,2.0,1522.1,23.3,0.95,3.0,92.0,49.6,8.8
