Machine,Type,Machine ID,Timestamp,machine_id,temperature,vibration_level,power_consumption,spindle_speed,tool_wear_level,cut_depth,feed_rate,coolant_flow_rate,material_hardness,chip_load
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:07:32.337518+00:00,cnc_milling_004,85.1,0.3,16.8,4686.2,10.8,2.4,217.2,1.53,53.3,0.08
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:07:47.296476+00:00,cnc_milling_004,60.9,0.66,4.9,11164.6,25.0,3.5,95.2,1.29,254.1,0.26
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:08:21.130922+00:00,cnc_milling_004,15.1,0.38,12.7,6204.7,65.0,2.8,58.6,1.06,202.5,0.11
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:08:41.264549+00:00,cnc_milling_004,29.4,0.0,1.0,2549.2,44.1,0.2,397.3,0.89,7.1,0.0
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:08:50.604493+00:00,cnc_milling_004,81.3,0.47,8.9,1954.6,0.8,1.9,79.3,0.74,69.6,0.93
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:09:06.381326+00:00,cnc_milling_004,47.4,0.99,12.1,3787.2,0.9,0.2,194.4,1.37,149.3,0.85
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:09:36.450946+00:00,cnc_milling_004,43.2,0.28,9.1,816.8,15.4,6.3,395.8,1.23,283.9,0.57
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:09:56.562907+00:00,cnc_milling_004,53.5,0.43,5.1,4503.0,47.7,4.4,114.6,0.94,32.0,0.94
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:10:21.520159+00:00,cnc_milling_004,99.8,0.67,2.2,7451.2,42.2,1.3,115.0,1.92,177.6,0.21
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:10:26.099869+00:00,cnc_milling_004,21.2,0.64,8.4,54.9,40.3,0.8,238.6,0.39,148.5,0.84
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:11:01.494721+00:00,cnc_milling_004,65.9,0.41,18.7,287.3,77.5,1.8,107.2,1.69,104.7,0.69
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:11:06.918527+00:00,cnc_milling_004,87.0,0.13,13.4,12555.7,39.8,4.6,105.5,1.85,284.5,0.95
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:11:37.486465+00:00,cnc_milling_004,30.1,0.88,2.5,7800.3,21.9,8.9,433.8,0.69,103.6,0.34
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:11:46.180974+00:00,cnc_milling_004,44.0,0.44,13.2,10896.1,61.0,9.2,267.6,0.76,229.4,0.63
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:12:16.563331+00:00,cnc_milling_004,4.2,0.25,19.9,785.3,51.7,0.1,143.4,0.23,50.0,0.43
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:12:41.629857+00:00,cnc_milling_004,9.3,0.93,16.8,13525.2,48.4,6.1,32.9,1.12,109.1,0.61
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:13:01.885691+00:00,cnc_milling_004,27.6,0.25,10.3,2451.7,20.6,7.1,407.9,1.04,25.3,0.2
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:13:11.200497+00:00,cnc_milling_004,36.7,0.89,14.7,11746.5,62.4,8.1,397.7,1.91,87.0,0.01
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:13:36.620359+00:00,cnc_milling_004,30.0,0.93,1.5,10772.4,4.2,4.9,403.7,0.64,55.7,0.5
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:13:52.756579+00:00,cnc_milling_004,97.0,0.06,19.1,12388.3,3.0,4.5,310.5,0.12,203.3,0.33
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:14:21.822349+00:00,cnc_milling_004,54.6,0.65,12.9,10220.9,76.6,4.4,51.6,1.06,105.1,0.3
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:14:41.666829+00:00,cnc_milling_004,2.2,0.75,5.3,1586.7,86.1,0.8,329.2,0.94,255.0,0.25
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:14:56.761723+00:00,cnc_milling_004,20.2,0.67,18.8,8263.7,84.9,9.6,292.4,0.65,147.5,0.0
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:15:21.773658+00:00,cnc_milling_004,12.2,0.41,2.6,4924.3,73.8,6.4,464.6,1.16,16.2,0.57
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:15:26.401855+00:00,cnc_milling_004,41.6,0.95,15.3,14934.8,89.1,6.4,265.4,1.07,185.3,0.16
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:16:02.094374+00:00,cnc_milling_004,36.3,0.8,11.5,3172.0,64.5,4.8,86.1,1.96,213.1,0.01
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:16:21.671777+00:00,cnc_milling_004,9.4,0.17,19.9,3943.8,70.4,7.3,197.7,1.0,287.4,0.29
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:16:41.803650+00:00,cnc_milling_004,47.6,0.16,6.1,11655.1,89.3,0.4,380.8,0.23,157.1,0.01
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:17:01.879228+00:00,cnc_milling_004,97.0,0.95,18.5,9999.3,76.6,8.3,104.8,1.21,39.4,0.1
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:17:21.889990+00:00,cnc_milling_004,56.2,0.2,10.2,5828.4,16.6,3.3,489.1,0.7,174.0,0.71
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:17:41.967527+00:00,cnc_milling_004,41.1,0.75,8.4,12336.1,88.7,2.4,80.6,1.04,28.0,0.21
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:17:46.589210+00:00,cnc_milling_004,52.2,0.12,9.7,151.2,37.5,10.0,343.4,1.6,207.5,0.16
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:18:06.509751+00:00,cnc_milling_004,96.9,0.45,3.4,7139.3,41.3,2.1,69.9,1.52,152.9,0.68
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:18:41.888325+00:00,cnc_milling_004,95.9,0.68,5.6,11893.4,85.3,4.6,361.8,0.91,104.5,0.37
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:18:57.005761+00:00,cnc_milling_004,79.6,0.75,13.2,1320.7,69.2,3.3,135.7,1.64,195.5,0.34
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:19:06.939915+00:00,cnc_milling_004,98.7,0.24,8.2,7155.3,25.8,6.7,312.2,0.11,127.0,0.68
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:19:41.941944+00:00,cnc_milling_004,46.7,0.79,8.8,1401.9,74.0,0.5,318.6,0.29,75.5,0.24
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:19:46.240103+00:00,cnc_milling_004,86.4,0.23,10.1,5637.2,37.3,1.3,240.4,1.78,96.2,0.97
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:20:16.782110+00:00,cnc_milling_004,72.5,0.86,0.8,9764.3,91.1,4.6,182.9,0.28,200.6,0.35
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:20:41.992602+00:00,cnc_milling_004,23.0,0.27,1.4,8636.4,28.3,9.1,94.4,1.09,294.9,0.66
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:20:57.063796+00:00,cnc_milling_004,78.2,0.53,13.9,6292.4,71.9,8.6,310.9,1.76,91.9,0.24
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:21:12.004140+00:00,cnc_milling_004,89.1,0.21,12.6,5213.0,7.3,0.8,300.9,0.1,165.1,0.65
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:21:41.976766+00:00,cnc_milling_004,95.3,0.11,9.3,12530.9,56.1,9.3,126.6,1.69,35.0,0.34
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:21:57.118746+00:00,cnc_milling_004,93.2,0.75,14.3,7772.8,0.5,8.9,126.6,1.66,90.5,0.64
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:22:22.112840+00:00,cnc_milling_004,37.0,0.48,16.9,9097.2,33.7,9.2,256.7,1.87,235.3,0.51
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:22:31.366643+00:00,cnc_milling_004,62.5,0.1,4.9,11016.1,95.2,3.7,240.4,1.55,5.0,0.25
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:22:57.196887+00:00,cnc_milling_004,26.4,0.24,15.1,6323.8,52.5,2.1,356.4,0.11,159.5,0.35
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:23:11.717620+00:00,cnc_milling_004,88.4,0.15,16.9,11935.7,52.3,8.3,435.5,0.58,111.3,0.0
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:23:42.123394+00:00,cnc_milling_004,30.8,0.91,5.2,5159.0,66.3,3.0,58.3,1.56,123.0,0.64
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:23:46.808928+00:00,cnc_milling_004,18.5,0.62,18.2,2439.5,58.9,7.2,301.9,0.03,213.5,0.13
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:24:22.138219+00:00,cnc_milling_004,51.7,0.07,3.8,14316.6,47.2,3.2,68.2,1.88,194.7,0.22
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:24:42.271098+00:00,cnc_milling_004,75.5,0.54,1.9,4351.6,90.0,0.6,69.3,1.31,150.6,0.95
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:25:02.187339+00:00,cnc_milling_004,0.7,0.02,15.5,1441.3,50.9,2.5,292.7,1.8,2.0,0.02
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:25:13.539428+00:00,cnc_milling_004,65.9,0.73,1.7,11560.2,59.0,1.8,369.8,0.66,145.4,0.32
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:25:26.880079+00:00,cnc_milling_004,63.4,0.13,11.6,3553.9,75.3,1.4,407.7,0.18,215.6,0.53
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:26:01.830275+00:00,cnc_milling_004,17.8,0.01,7.8,2626.5,93.9,3.1,261.1,1.14,120.0,1.0
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:26:17.269548+00:00,cnc_milling_004,35.2,0.79,15.5,8093.6,94.0,0.8,479.9,0.31,63.6,0.13
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:26:41.418409+00:00,cnc_milling_004,46.9,0.12,19.9,8794.1,66.7,5.1,185.8,0.4,89.7,0.53
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:26:46.038678+00:00,cnc_milling_004,47.1,0.51,18.6,6782.5,42.2,4.9,271.8,1.79,51.9,0.63
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:27:11.394795+00:00,cnc_milling_004,78.6,0.46,1.0,2082.7,58.8,9.3,177.8,0.43,180.3,0.83
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:27:41.312006+00:00,cnc_milling_004,3.9,0.93,15.2,648.3,46.3,9.0,499.4,0.72,163.5,0.97
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:27:56.474912+00:00,cnc_milling_004,22.0,0.83,14.0,10090.2,69.6,9.3,162.1,0.67,54.8,0.43
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:28:16.536565+00:00,cnc_milling_004,1.4,0.59,15.9,8336.3,60.2,8.6,322.6,1.65,234.8,0.62
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:28:31.512836+00:00,cnc_milling_004,55.2,0.23,12.6,6769.0,83.9,8.1,178.3,0.88,16.6,0.92
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:28:46.437877+00:00,cnc_milling_004,70.8,0.44,5.0,1299.1,34.1,9.0,262.8,1.24,211.8,0.98
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:29:22.227441+00:00,cnc_milling_004,82.3,0.09,7.4,7034.8,44.9,5.2,262.3,1.6,167.8,0.3
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:29:30.724587+00:00,cnc_milling_004,51.6,0.36,4.0,7330.8,47.2,7.1,476.8,1.06,202.1,0.58
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:30:01.651241+00:00,cnc_milling_004,12.7,0.63,18.2,1004.5,7.0,8.0,7.8,1.89,104.8,0.68
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:30:22.181734+00:00,cnc_milling_004,56.0,0.85,19.6,10235.4,87.6,1.9,146.4,1.72,125.8,0.36
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:30:31.236346+00:00,cnc_milling_004,28.9,0.63,9.0,2734.9,27.8,3.3,499.5,0.39,101.1,0.73
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:30:52.662931+00:00,cnc_milling_004,83.7,0.46,8.3,5308.3,62.3,0.5,389.8,0.4,138.2,0.73
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:31:21.736744+00:00,cnc_milling_004,20.0,0.02,17.1,13035.1,10.6,5.4,163.1,1.09,222.3,0.91
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:31:41.694608+00:00,cnc_milling_004,10.7,0.04,7.0,13611.9,97.2,3.3,231.5,0.96,275.2,0.22
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:32:01.579054+00:00,cnc_milling_004,31.0,0.73,16.6,11456.1,94.5,2.8,360.3,1.43,123.3,0.99
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:32:21.722605+00:00,cnc_milling_004,21.4,0.81,14.0,10902.5,27.4,6.7,258.8,0.7,54.4,0.58
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:32:41.616010+00:00,cnc_milling_004,56.9,0.79,15.1,8631.0,95.4,0.8,206.9,1.18,77.4,0.24
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:33:01.741021+00:00,cnc_milling_004,98.3,0.37,4.2,1369.5,83.9,8.4,189.7,1.71,253.9,0.13
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:33:21.924691+00:00,cnc_milling_004,14.9,0.16,1.2,1053.0,42.5,0.9,318.0,1.76,49.6,0.74
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:33:41.748220+00:00,cnc_milling_004,94.2,0.65,18.3,5104.8,6.7,2.2,10.6,1.27,159.2,0.58
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:38:02.188994+00:00,cnc_milling_004,49.1,0.34,13.1,3484.6,56.9,0.2,369.7,0.09,36.8,0.06
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:38:22.033910+00:00,cnc_milling_004,18.9,0.49,3.3,1531.6,0.1,2.9,101.4,1.69,19.7,0.16
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:38:42.007787+00:00,cnc_milling_004,53.8,0.64,9.6,7529.5,11.9,0.4,78.5,1.15,52.9,0.19
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:39:02.235360+00:00,cnc_milling_004,13.9,0.94,14.4,7576.8,34.1,5.9,279.9,0.98,214.9,0.73
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:39:21.915165+00:00,cnc_milling_004,8.0,0.35,1.3,12433.5,98.6,2.6,361.8,0.81,210.0,0.79
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:39:42.042201+00:00,cnc_milling_004,27.8,0.65,11.2,11351.7,72.4,9.1,38.4,0.59,151.2,0.76
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:40:02.147921+00:00,cnc_milling_004,79.9,0.31,2.6,12445.5,49.0,1.2,317.0,1.32,71.9,0.03
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:40:21.814871+00:00,cnc_milling_004,92.3,0.46,11.3,8870.7,84.2,8.8,412.9,0.26,96.9,0.78
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:40:42.046732+00:00,cnc_milling_004,61.7,0.83,13.9,9767.5,24.7,2.9,481.2,1.42,144.3,0.18
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:41:02.323745+00:00,cnc_milling_004,43.5,0.66,8.2,4686.7,63.6,2.5,291.2,0.3,98.2,0.73
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:41:22.239057+00:00,cnc_milling_004,76.2,0.05,18.6,3286.4,73.5,0.4,478.4,1.66,19.1,0.09
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:41:42.126599+00:00,cnc_milling_004,24.0,0.47,6.0,10857.1,57.6,1.3,161.9,0.54,134.8,0.6
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:42:02.452035+00:00,cnc_milling_004,69.2,0.81,19.7,2680.8,0.2,1.3,115.5,1.23,50.3,0.63
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:42:22.183554+00:00,cnc_milling_004,49.9,0.8,5.0,1878.5,26.2,1.4,439.0,0.14,63.6,0.51
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:42:43.102445+00:00,cnc_milling_004,21.9,0.72,6.7,12342.7,77.5,4.0,315.8,1.96,62.8,0.96
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:43:02.688831+00:00,cnc_milling_004,95.5,0.39,0.0,7594.3,60.7,2.5,172.1,0.25,44.9,0.22
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:43:22.198729+00:00,cnc_milling_004,51.2,0.68,8.1,5521.1,27.9,4.1,441.8,1.32,32.5,0.94
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:43:41.800534+00:00,cnc_milling_004,40.9,0.22,13.7,9560.4,59.3,6.2,471.4,0.91,170.5,0.55
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:44:02.171785+00:00,cnc_milling_004,58.2,0.52,7.2,8705.3,2.4,3.0,496.2,1.07,162.4,0.37
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:44:21.810949+00:00,cnc_milling_004,3.1,0.7,1.0,4340.2,14.9,4.0,332.0,0.79,251.8,0.72
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:44:41.757449+00:00,cnc_milling_004,65.9,0.7,18.2,6237.0,13.4,5.2,390.7,1.19,41.3,0.05
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:45:01.853706+00:00,cnc_milling_004,27.6,0.84,3.6,6914.7,64.6,4.0,461.5,0.06,96.1,0.44
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:45:21.856550+00:00,cnc_milling_004,3.9,0.01,18.3,1069.1,71.3,7.9,432.0,0.35,107.9,0.83
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:45:41.849510+00:00,cnc_milling_004,13.2,0.98,14.4,4816.0,99.7,0.4,185.6,1.1,206.4,0.21
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:46:02.180348+00:00,cnc_milling_004,13.1,0.58,7.8,11883.7,40.0,5.6,44.1,1.58,155.8,0.73
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:46:21.951933+00:00,cnc_milling_004,25.7,0.93,0.0,2987.7,1.0,2.2,71.3,1.82,153.7,0.34
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:46:38.254082+00:00,cnc_milling_004,67.7,0.63,13.8,5132.9,78.5,5.6,416.9,0.2,45.0,0.53
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:46:42.062476+00:00,cnc_milling_004,31.9,0.96,15.8,11366.8,54.1,7.6,79.4,0.14,216.0,0.31
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:47:02.192273+00:00,cnc_milling_004,78.2,0.18,5.7,5358.4,80.9,8.5,125.9,0.4,189.7,0.63
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:47:22.122441+00:00,cnc_milling_004,57.0,0.41,9.4,284.9,90.2,8.4,89.9,0.85,57.7,0.06
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:47:42.257632+00:00,cnc_milling_004,82.4,0.19,6.5,13356.7,80.3,6.3,484.7,1.02,204.6,0.81
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:48:02.310526+00:00,cnc_milling_004,17.4,0.41,11.5,4173.2,34.1,2.3,428.0,1.79,290.2,0.44
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:48:22.127396+00:00,cnc_milling_004,3.7,0.2,1.0,13071.3,2.2,0.6,387.8,1.0,112.2,0.36
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:48:42.414562+00:00,cnc_milling_004,76.7,0.19,12.8,8053.7,28.2,4.4,154.6,1.63,297.5,0.6
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:49:02.077915+00:00,cnc_milling_004,20.7,0.3,12.7,11715.2,84.4,2.9,95.6,1.17,155.6,0.74
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:49:21.566130+00:00,cnc_milling_004,73.7,0.62,10.9,8816.9,96.4,5.5,0.8,1.26,61.7,0.63
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:49:41.701911+00:00,cnc_milling_004,74.7,0.37,6.3,11800.5,12.6,5.2,312.4,0.0,225.9,0.82
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:50:01.632197+00:00,cnc_milling_004,58.9,0.87,12.9,14693.8,35.9,7.0,363.4,1.56,125.7,0.21
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:50:22.117124+00:00,cnc_milling_004,0.5,0.76,13.7,6265.5,21.4,1.5,472.9,1.59,176.6,0.96
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:51:01.848695+00:00,cnc_milling_004,2.2,0.05,15.4,2202.1,77.9,7.1,244.8,1.58,128.6,0.18
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:51:21.739919+00:00,cnc_milling_004,66.3,0.35,15.9,9143.5,77.5,0.1,312.4,0.59,135.1,0.18
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:51:41.177264+00:00,cnc_milling_004,81.4,0.71,5.0,13653.1,36.5,4.9,99.8,1.83,220.0,0.41
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:52:01.579623+00:00,cnc_milling_004,15.5,0.02,17.5,1794.1,83.0,2.9,66.7,0.65,58.7,0.52
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:52:22.063536+00:00,cnc_milling_004,98.2,0.8,8.7,2518.9,91.9,9.4,395.6,0.47,206.0,0.32
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:52:41.693647+00:00,cnc_milling_004,83.3,0.41,13.7,4034.6,6.4,2.6,38.8,1.19,264.8,0.61
CNC - cnc_milling_004,CNC,cnc_milling_004,2024-10-19 09:53:01.606457+00:00,cnc_milling_004,18.3,0.25,7.6,11929.4,73.2,7.7,315.2,0.08,20.6,0.8
